protein_name1,protein_name2
Q9NSK0,P26196
P32521,P52553
P52553,P32521
O04209,O04209
Q11179,O17581
O17581,Q11179
P46947,Q99260
Q99260,P46947
Q08951,P31384
P31384,Q08951
O00468,P08590
P08590,O00468
Q8N726,Q00987
Q00987,Q8N726
P25342,P09624
P09624,P25342
Q9Y7R4,Q10296
Q10296,Q9Y7R4
P27129,P27832
P27832,P27129
Q13620,P04637
P04637,Q13620
Q6UY14,O60336
O60336,Q6UY14
Q9Y5Q3,Q96PK6
Q96PK6,Q9Y5Q3
P38881,P35845
P35845,P38881
P63104,Q9NYL2
Q9NYL2,P63104
Q08923,P40505
P40505,Q08923
P75797,P39359
P39359,P75797
P11557,P0A887
P0A887,P11557
Q08043,O75604
O75604,Q08043
Q08412,P0CG63
P0CG63,Q08412
Q04935,P38523
P38523,Q04935
Q24306,Q9VFJ3
Q9VFJ3,Q24306
Q8WZK4,Q92374
Q92374,Q8WZK4
P55036,P51665
P51665,P55036
Q9GZP1,Q8IUH5
Q8IUH5,Q9GZP1
Q9H0C5,Q7L5N1
Q7L5N1,Q9H0C5
P32447,P33300
P33300,P32447
Q08496,P24279
P24279,Q08496
P60010,P20486
P20486,P60010
P76210,P76219
P76219,P76210
Q3E792,P32630
P32630,Q3E792
P48563,P06839
P06839,P48563
Q13443,Q8NBF2
Q8NBF2,Q13443
P13517,Q07657
Q07657,P13517
Q9C912,O23290
O23290,Q9C912
P38305,P53911
P53911,P38305
P37306,P75863
P75863,P37306
P09348,P26602
P26602,P09348
Q93VT9,P42794
P42794,Q93VT9
P04181,P46937
P46937,P04181
Q8WYA6,Q6P9B9
Q6P9B9,Q8WYA6
P49018,P53065
P53065,P49018
Q15007,Q06830
Q06830,Q15007
Q8TF66,Q92734
Q92734,Q8TF66
Q04665,Q10364
Q10364,Q04665
Q05778,P32591
P32591,Q05778
O94235,Q10426
Q10426,O94235
Q92922,P49848
P49848,Q92922
P02829,P53272
P53272,P02829
P36683,P0A6P1
P0A6P1,P36683
P11688,P62140
P62140,P11688
Q91VR5,Q8K2F8
Q8K2F8,Q91VR5
Q9UKB1,O43312
O43312,Q9UKB1
Q5T447,P0DTD1
P0DTD1,Q5T447
P23878,P31462
P31462,P23878
O43293,Q9UIJ7
Q9UIJ7,O43293
Q9UL15,Q6P2Q9
Q6P2Q9,Q9UL15
Q9Y618,P19838
P19838,Q9Y618
P23900,P32485
P32485,P23900
P00549,P38775
P38775,P00549
P53731,P36116
P36116,P53731
Q969H0,Q86SE5
Q86SE5,Q969H0
P54199,P50947
P50947,P54199
P22213,P41834
P41834,P22213
P38484,Q8N5M9
Q8N5M9,P38484
P02829,P40091
P40091,P02829
P14681,P38205
P38205,P14681
P75914,P33924
P33924,P75914
Q9UII2,Q15084
Q15084,Q9UII2
Q9NPF5,Q9Y265
Q9Y265,Q9NPF5
P40056,P38920
P38920,P40056
P38429,Q06089
Q06089,P38429
Q06636,Q07653
Q07653,Q06636
Q03769,Q12300
Q12300,Q03769
Q8IZE3,P01111
P01111,Q8IZE3
Q9P219,Q96F44
Q96F44,Q9P219
Q38SD2,O14966
O14966,Q38SD2
P23527,P0DTD3
P0DTD3,P23527
Q04217,P40470
P40470,Q04217
P32505,Q12330
Q12330,P32505
Q14558,Q13153
Q13153,Q14558
O00519,P0DTC5
P0DTC5,O00519
Q9SV21,Q9FHY0
Q9FHY0,Q9SV21
Q9NRM7,Q9NRM7
P68400,Q9NYL9
Q9NYL9,P68400
P31384,P39083
P39083,P31384
Q03792,P53222
P53222,Q03792
P50502,P51617
P51617,P50502
P23059,P11655
P11655,P23059
Q9USS2,O14217
O14217,Q9USS2
Q12142,P41834
P41834,Q12142
P14747,P38915
P38915,P14747
P01129,O74448
O74448,P01129
Q9NPF5,Q9Y230
Q9Y230,Q9NPF5
Q7L2H7,Q7L2J0
Q7L2J0,Q7L2H7
O88522,Q8R2Q0
Q8R2Q0,O88522
P43005,Q7Z5G4
Q7Z5G4,P43005
P34160,Q00916
Q00916,P34160
Q96N67,P21860
P21860,Q96N67
Q9UQV4,Q9NX47
Q9NX47,Q9UQV4
Q08144,P17255
P17255,Q08144
Q96CM8,Q96PQ1
Q96PQ1,Q96CM8
Q08213,Q03760
Q03760,Q08213
Q12361,Q03735
Q03735,Q12361
P33417,Q12242
Q12242,P33417
P05067,Q13224
Q13224,P05067
P49573,P38694
P38694,P49573
Q13489,Q15269
Q15269,Q13489
P25741,P0A930
P0A930,P25741
P32350,P25632
P25632,P32350
P52272,P55769
P55769,P52272
P37028,P0AAG0
P0AAG0,P37028
Q8CA72,Q02053
Q02053,Q8CA72
P53687,P25588
P25588,P53687
P0AEF8,P08395
P08395,P0AEF8
P32056,P43329
P43329,P32056
Q9Y618,P12757
P12757,Q9Y618
Q9Y328,Q8N357
Q8N357,Q9Y328
P25741,P45546
P45546,P25741
P27129,P69423
P69423,P27129
P32505,P46996
P46996,P32505
P25567,Q12298
Q12298,P25567
Q03020,P46990
P46990,Q03020
P40395,Q00416
Q00416,P40395
P62136,O95405
O95405,P62136
P41056,P11655
P11655,P41056
Q9UTG8,Q09691
Q09691,Q9UTG8
Q9NPI1,Q7L014
Q7L014,Q9NPI1
P24482,P21951
P21951,P24482
P31946,Q8NI37
Q8NI37,P31946
P38770,P40965
P40965,P38770
P25443,P38959
P38959,P25443
Q9NDJ2,Q7KNF2
Q7KNF2,Q9NDJ2
P51665,Q05086
Q05086,P51665
P40088,Q12004
Q12004,P40088
P57678,F5HCV3
F5HCV3,P57678
P36521,P25808
P25808,P36521
Q06697,P06778
P06778,Q06697
P36008,P34761
P34761,P36008
Q9ZTX9,Q9XFM0
Q9XFM0,Q9ZTX9
P35251,P40937
P40937,P35251
P24583,P13099
P13099,P24583
Q9LF30,Q8LC83
Q8LC83,Q9LF30
O95602,P36954
P36954,O95602
O75366,Q86SX3
Q86SX3,O75366
P38198,Q12297
Q12297,P38198
Q07532,P36017
P36017,Q07532
P32325,P25644
P25644,P32325
O08736,O95786
O95786,O08736
Q9NXX6,Q8NG27
Q8NG27,Q9NXX6
P38110,Q00772
Q00772,P38110
P75831,P27241
P27241,P75831
P54901,P0A910
P0A910,P54901
Q93ZW0,Q9SEU8
Q9SEU8,Q93ZW0
P38877,P36041
P36041,P38877
P47052,Q8TGU2
Q8TGU2,P47052
Q91W40,Q9NSK0
Q9NSK0,Q91W40
P54760,Q9WTX5
Q9WTX5,P54760
Q9Z2D8,Q9R190
Q9R190,Q9Z2D8
P38876,P32916
P32916,P38876
P47176,P36161
P36161,P47176
Q969X5,Q14197
Q14197,Q969X5
P62913,P62910
P62910,P62913
P0ABU7,P76027
P76027,P0ABU7
P40509,Q03433
Q03433,P40509
P31466,P0A9P6
P0A9P6,P31466
P21657,P34217
P34217,P21657
O43684,O95071
O95071,O43684
P29012,P50456
P50456,P29012
Q9US09,Q09883
Q09883,Q9US09
P40354,Q12306
Q12306,P40354
P40518,P32496
P32496,P40518
P32617,P53115
P53115,P32617
P0DTD1,Q9Y519
Q9Y519,P0DTD1
P48240,P47037
P47037,P48240
Q96RN5,Q96G25
Q96G25,Q96RN5
Q5D0E6,Q8IUH5
Q8IUH5,Q5D0E6
P39964,P36616
P36616,P39964
O60563,Q14247
Q14247,O60563
P46963,P35187
P35187,P46963
Q04201,P53123
P53123,Q04201
P00561,P52613
P52613,P00561
P53961,Q07896
Q07896,P53961
O14129,Q10213
Q10213,O14129
P23292,P47123
P47123,P23292
P01730,Q14240
Q14240,P01730
P38088,Q12298
Q12298,P38088
P26793,P26570
P26570,P26793
P23748,P32790
P32790,P23748
P49959,P12956
P12956,P49959
O60260,P09936
P09936,O60260
P38345,Q08491
Q08491,P38345
Q9ULD4,Q14257
Q14257,Q9ULD4
P21243,P23724
P23724,P21243
P31385,P43588
P43588,P31385
Q02884,P53973
P53973,Q02884
Q5XIE8,Q5BK63
Q5BK63,Q5XIE8
P25358,Q04697
Q04697,P25358
P43132,P33301
P33301,P43132
P18409,P49334
P49334,P18409
Q9BXY8,Q16082
Q16082,Q9BXY8
P53141,Q03707
Q03707,P53141
P37652,P20083
P20083,P37652
O94826,Q70CQ3
Q70CQ3,O94826
Q9UBS4,Q14697
Q14697,Q9UBS4
O00400,Q9HBH1
Q9HBH1,O00400
P0A6A8,P77519
P77519,P0A6A8
Q92731,P47974
P47974,Q92731
P21827,P30822
P30822,P21827
P17891,P38262
P38262,P17891
Q61324,P46938
P46938,Q61324
P33755,P47033
P47033,P33755
P36120,Q03940
Q03940,P36120
Q9P6R4,Q09819
Q09819,Q9P6R4
P12904,P39939
P39939,P12904
P19145,P43606
P43606,P19145
P0CG63,Q01477
Q01477,P0CG63
O74510,O60137
O60137,O74510
P49841,P49768
P49768,P49841
Q12396,P17255
P17255,Q12396
Q04839,P53849
P53849,Q04839
Q13516,Q8IYB3
Q8IYB3,Q13516
Q9Z1R2,Q6GQV0
Q6GQV0,Q9Z1R2
P30749,P0AG11
P0AG11,P30749
P20053,P38827
P38827,P20053
P40208,P22579
P22579,P40208
Q01560,P08518
P08518,Q01560
Q9D6F9,P39447
P39447,Q9D6F9
P34689,P49595
P49595,P34689
P49327,Q99816
Q99816,P49327
P32447,P22216
P22216,P32447
P45508,P37660
P37660,P45508
P23293,P40459
P40459,P23293
Q9NQR4,Q9P2R7
Q9P2R7,Q9NQR4
P60010,Q03823
Q03823,P60010
Q8L9T7,Q3EBD3
Q3EBD3,Q8L9T7
O75400,P63279
P63279,O75400
P46600,Q9LM84
Q9LM84,P46600
Q9H7Z7,P13693
P13693,Q9H7Z7
P36088,P38630
P38630,P36088
P38792,P36024
P36024,P38792
Q12149,Q03707
Q03707,Q12149
P31942,P08559
P08559,P31942
A4D2H0,Q5JRA6
Q5JRA6,A4D2H0
P20936,Q9Y6G3
Q9Y6G3,P20936
Q96KC8,Q13370
Q13370,Q96KC8
Q06185,Q9D6R2
Q9D6R2,Q06185
Q06819,P40562
P40562,Q06819
P50084,P38753
P38753,P50084
P10914,P47897
P47897,P10914
Q92879,Q5TC82
Q5TC82,Q92879
P17802,P39310
P39310,P17802
P25656,P35735
P35735,P25656
Q9C835,Q8VZW1
Q8VZW1,Q9C835
P11532,Q9NSN8
Q9NSN8,P11532
P81450,P08593
P08593,P81450
O74456,O13801
O13801,O74456
P53115,Q12093
Q12093,P53115
P22186,P77156
P77156,P22186
P60328,Q9BYR6
Q9BYR6,P60328
P07900,O94955
O94955,P07900
P47064,P53195
P53195,P47064
P21374,P20095
P20095,P21374
Q8IYS2,Q86UK7
Q86UK7,Q8IYS2
Q9NR12,Q13813
Q13813,Q9NR12
Q08923,P40340
P40340,Q08923
P53722,P38324
P38324,P53722
P04792,O14980
O14980,P04792
Q04149,P06778
P06778,Q04149
P15790,P20448
P20448,P15790
P50395,Q16612
Q16612,P50395
P03952,P01042
P01042,P03952
P87297,Q9P7U7
Q9P7U7,P87297
P42818,Q93YQ1
Q93YQ1,P42818
Q08972,O13578
O13578,Q08972
P0AGC3,P0AG03
P0AG03,P0AGC3
P23434,O43396
O43396,P23434
P06776,P22289
P22289,P06776
P84243,Q15326
Q15326,P84243
P46379,Q16659
Q16659,P46379
Q9H4K7,Q9P0M9
Q9P0M9,Q9H4K7
P13365,Q04772
Q04772,P13365
P46963,P47072
P47072,P46963
O02056,P51403
P51403,O02056
P17980,O75832
O75832,P17980
O75030,P17947
P17947,O75030
Q08773,P53125
P53125,Q08773
Q5TB80,O15078
O15078,Q5TB80
P23508,P48039
P48039,P23508
Q9BX10,Q9NRD5
Q9NRD5,Q9BX10
P33334,Q12420
Q12420,P33334
P47112,P35187
P35187,P47112
P29952,P32913
P32913,P29952
P06168,P17505
P17505,P06168
Q86U10,Q12893
Q12893,Q86U10
Q03529,P35210
P35210,Q03529
P40007,P26263
P26263,P40007
P07143,P08018
P08018,P07143
Q08649,P35187
P35187,Q08649
P10080,P22147
P22147,P10080
P22681,P0CG48
P0CG48,P22681
Q14683,Q9UQE7
Q9UQE7,Q14683
P0ABS5,P0ABW3
P0ABW3,P0ABS5
Q96KA5,P0DTC4
P0DTC4,Q96KA5
P23331,P0A9E2
P0A9E2,P23331
P77779,P37642
P37642,P77779
O14641,Q8IYA8
Q8IYA8,O14641
P17106,Q06149
Q06149,P17106
P09622,Q9NP79
Q9NP79,P09622
P14242,P36097
P36097,P14242
P0AEL6,P37683
P37683,P0AEL6
P40969,P25491
P25491,P40969
P62192,P0CG50
P0CG50,P62192
P26616,P46126
P46126,P26616
Q7LFX5,Q92604
Q92604,Q7LFX5
Q9QZD9,Q92522
Q92522,Q9QZD9
O75127,Q9BRS2
Q9BRS2,O75127
Q3E829,P48837
P48837,Q3E829
P36655,P36928
P36928,P36655
Q9NY97,Q13363
Q13363,Q9NY97
Q3LI66,O14817
O14817,Q3LI66
Q13563,P19429
P19429,Q13563
P80386,Q4FZY0
Q4FZY0,P80386
Q12442,P35844
P35844,Q12442
P0A6Q6,P0AGJ2
P0AGJ2,P0A6Q6
P59635,O75691
O75691,P59635
P12904,P53937
P53937,P12904
P31224,P0ADA3
P0ADA3,P31224
P78854,Q9UUD8
Q9UUD8,P78854
P11454,P0AB89
P0AB89,P11454
Q9H400,Q5QGT7
Q5QGT7,Q9H400
Q9Y6Y8,P06753
P06753,Q9Y6Y8
P78759,Q9Y876
Q9Y876,P78759
O14139,Q9HGN2
Q9HGN2,O14139
P15172,P08047
P08047,P15172
Q6W2J9,Q08379
Q08379,Q6W2J9
P87275,P06102
P06102,P87275
P38116,P32341
P32341,P38116
Q9NRM7,P46937
P46937,Q9NRM7
Q6ZWI9,Q9Y467
Q9Y467,Q6ZWI9
P0A6M8,P75777
P75777,P0A6M8
P53951,P38869
P38869,P53951
P22579,P08153
P08153,P22579
O60674,Q9NRF2
Q9NRF2,O60674
P25336,P22082
P22082,P25336
Q7Z3B3,Q9BYE7
Q9BYE7,Q7Z3B3
P35222,Q71U36
Q71U36,P35222
Q8K0L9,E9QAG8
E9QAG8,Q8K0L9
P17214,Q12317
Q12317,P17214
P22987,Q10113
Q10113,P22987
P02309,P07866
P07866,P02309
O75794,Q14258
Q14258,O75794
P32353,P53379
P53379,P32353
P06244,P33311
P33311,P06244
P53622,P32074
P32074,P53622
P15391,P52735
P52735,P15391
Q08965,P38921
P38921,Q08965
P32558,P40150
P40150,P32558
Q00839,P51398
P51398,Q00839
P0ABA0,P0AEQ6
P0AEQ6,P0ABA0
P48363,P35691
P35691,P48363
Q86XS8,P51965
P51965,Q86XS8
P46481,P76473
P76473,P46481
Q03769,P25491
P25491,Q03769
P39286,P0ADS6
P0ADS6,P39286
P36062,P40367
P40367,P36062
Q9P7V4,Q09738
Q09738,Q9P7V4
Q9BZW8,Q63HN8
Q63HN8,Q9BZW8
Q6UWN5,Q96GM1
Q96GM1,Q6UWN5
Q12483,P32597
P32597,Q12483
P08957,P0AF70
P0AF70,P08957
Q96P20,Q8C0E3
Q8C0E3,Q96P20
Q9M0I2,Q9SWH4
Q9SWH4,Q9M0I2
P40351,Q12746
Q12746,P40351
Q07807,Q04598
Q04598,Q07807
P0AFB1,P76509
P76509,P0AFB1
Q06563,P80967
P80967,Q06563
P25358,P53252
P53252,P25358
Q9BTT4,P33215
P33215,Q9BTT4
P53298,P46673
P46673,P53298
P39748,P57081
P57081,P39748
Q9ULR5,P09651
P09651,Q9ULR5
P07821,P24174
P24174,P07821
P38261,P22216
P22216,P38261
P17157,P24276
P24276,P17157
Q9VGJ5,Q24142
Q24142,Q9VGJ5
P09581,P26450
P26450,P09581
Q9H0W5,P14649
P14649,Q9H0W5
P14164,P38198
P38198,P14164
P52593,Q12445
Q12445,P52593
P68032,Q8TB52
Q8TB52,P68032
Q9NS91,O14980
O14980,Q9NS91
P33767,P40505
P40505,P33767
Q92325,Q03825
Q03825,Q92325
P38633,P05318
P05318,P38633
P43124,P42942
P42942,P43124
P22459,Q96EB6
Q96EB6,P22459
P24719,P38109
P38109,P24719
P51398,Q13595
Q13595,P51398
P36156,P53206
P53206,P36156
P27636,P32562
P32562,P27636
P35269,P13984
P13984,P35269
P38770,P36039
P36039,P38770
P03953,Q99KI3
Q99KI3,P03953
Q99567,P0DTD1
P0DTD1,Q99567
Q9Y282,P55085
P55085,Q9Y282
P03372,Q9H2H8
Q9H2H8,P03372
O74874,O74967
O74967,O74874
P05141,P35813
P35813,P05141
Q6R2J8,Q9FMD7
Q9FMD7,Q6R2J8
O94761,P62913
P62913,O94761
O43663,P51991
P51991,O43663
O14862,P49790
P49790,O14862
P78537,Q96EV8
Q96EV8,P78537
Q07457,P47006
P47006,Q07457
Q9NQC7,Q13546
Q13546,Q9NQC7
P97452,Q6NZM9
Q6NZM9,P97452
Q02774,Q02774
P39346,P39279
P39279,P39346
O13958,O94252
O94252,O13958
Q03532,Q04500
Q04500,Q03532
P02942,P23843
P23843,P02942
P01106,Q12824
Q12824,P01106
P25694,Q03718
Q03718,P25694
P17169,P60782
P60782,P17169
P54253,Q49AN0
Q49AN0,P54253
O14908,Q15058
Q15058,O14908
P47001,Q06146
Q06146,P47001
P0ABE2,P00954
P00954,P0ABE2
P36112,P21538
P21538,P36112
P38147,P33317
P33317,P38147
P23434,Q05516
Q05516,P23434
O76927,Q06559
Q06559,O76927
P53849,P39705
P39705,P53849
P80428,P24814
P24814,P80428
Q12382,P46671
P46671,Q12382
O14618,P53597
P53597,O14618
O94992,Q13509
Q13509,O94992
P25786,Q9NW13
Q9NW13,P25786
P0AFL3,P0A7G2
P0A7G2,P0AFL3
Q9URU6,O14217
O14217,Q9URU6
P63151,Q9BTT4
Q9BTT4,P63151
P43220,O15354
O15354,P43220
P53252,P40075
P40075,P53252
P0AFW2,P75728
P75728,P0AFW2
P24276,Q08144
Q08144,P24276
P27303,P0A6F3
P0A6F3,P27303
Q13618,Q96GG9
Q96GG9,Q13618
P24193,P15005
P15005,P24193
Q14839,Q9P0T4
Q9P0T4,Q14839
P23246,Q96ST3
Q96ST3,P23246
P63000,Q9UM00
Q9UM00,P63000
Q9USY3,P17608
P17608,Q9USY3
P38157,P05750
P05750,P38157
P43571,P33338
P33338,P43571
Q15910,O43719
O43719,Q15910
P31334,P36167
P36167,P31334
Q15596,O75469
O75469,Q15596
Q7L266,Q13387
Q13387,Q7L266
O75475,Q5XPI4
Q5XPI4,O75475
P77211,P0AG96
P0AG96,P77211
P00830,P38860
P38860,P00830
O95749,O00560
O00560,O95749
Q9USL4,Q9P7D2
Q9P7D2,Q9USL4
Q94527,A1Z9R4
A1Z9R4,Q94527
P0AFN2,P37681
P37681,P0AFN2
P53890,P08964
P08964,P53890
P41208,Q3V6T2
Q3V6T2,P41208
Q9NVX2,O95478
O95478,Q9NVX2
P49005,P12004
P12004,P49005
P40986,P53188
P53188,P40986
P48363,P09734
P09734,P48363
Q03862,P36161
P36161,Q03862
P60010,P40005
P40005,P60010
P32473,P50947
P50947,P32473
P41543,P33338
P33338,P41543
Q06338,Q12342
Q12342,Q06338
Q9Y6D5,P35222
P35222,Q9Y6D5
Q03898,P38295
P38295,Q03898
P04201,Q8TBE7
Q8TBE7,P04201
Q9Y704,Q12381
Q12381,Q9Y704
P54812,Q19584
Q19584,P54812
Q9NTI5,Q9UQE7
Q9UQE7,Q9NTI5
P87297,O74920
O74920,P87297
O95810,P0DTC9
P0DTC9,O95810
Q12769,Q8NFH4
Q8NFH4,Q12769
P18480,Q03010
Q03010,P18480
Q7Z4G1,Q04206
Q04206,Q7Z4G1
P50108,Q06836
Q06836,P50108
Q8WTS1,O43399
O43399,Q8WTS1
P51857,Q8TEQ6
Q8TEQ6,P51857
P32770,P32897
P32897,P32770
Q9NQ32,Q3LI72
Q3LI72,Q9NQ32
P0DTC8,P63000
P63000,P0DTC8
P38736,P36525
P36525,P38736
P50406,P14550
P14550,P50406
P0ACQ4,P02925
P02925,P0ACQ4
O60921,Q99638
Q99638,O60921
Q99287,P41834
P41834,Q99287
P53037,P39904
P39904,P53037
P29317,Q8WUU5
Q8WUU5,P29317
P32353,Q12277
Q12277,P32353
Q13573,P61011
P61011,Q13573
P32524,Q03388
Q03388,P32524
P40969,P25808
P25808,P40969
Q92572,O95229
O95229,Q92572
Q02199,P40150
P40150,Q02199
P12830,A0FGR8
A0FGR8,P12830
Q9STH1,O22832
O22832,Q9STH1
P10632,P25685
P25685,P10632
Q9Y7V2,O94397
O94397,Q9Y7V2
P13016,P32137
P32137,P13016
O15287,Q9NW38
Q9NW38,O15287
P53855,P38166
P38166,P53855
Q9BUE0,Q9NX70
Q9NX70,Q9BUE0
Q92851,Q8N488
Q8N488,Q92851
Q12406,P05747
P05747,Q12406
Q6UN15,P39019
P39019,Q6UN15
P49773,Q16774
Q16774,P49773
Q969H0,A1L167
A1L167,Q969H0
P0AFT5,P0A725
P0A725,P0AFT5
Q06287,P16664
P16664,Q06287
P35222,Q9NWU2
Q9NWU2,P35222
P53973,P40060
P40060,P53973
Q03079,P32904
P32904,Q03079
P76343,Q46832
Q46832,P76343
Q00684,P39954
P39954,Q00684
Q8NEC5,P60328
P60328,Q8NEC5
P38757,P16664
P16664,P38757
P31384,P39904
P39904,P31384
P07639,P0A8P8
P0A8P8,P07639
Q00776,P53011
P53011,Q00776
P40464,Q12117
Q12117,P40464
Q62255,Q64092
Q64092,Q62255
Q05521,P38855
P38855,Q05521
Q16531,P62805
P62805,Q16531
P38144,P53048
P53048,P38144
O60313,Q9Y584
Q9Y584,O60313
P0AE78,P11557
P11557,P0AE78
Q5VVQ6,P0CG48
P0CG48,Q5VVQ6
P25044,P32912
P32912,P25044
P41832,P02557
P02557,P41832
Q02554,P40204
P40204,Q02554
O44156,Q9N599
Q9N599,O44156
P23293,P25365
P25365,P23293
O74350,Q10325
Q10325,O74350
P61224,O15211
O15211,P61224
P42025,P47755
P47755,P42025
P53154,P38755
P38755,P53154
Q15058,P49736
P49736,Q15058
P0AFR2,P33924
P33924,P0AFR2
O95967,Q96EQ0
Q96EQ0,O95967
Q13825,P08559
P08559,Q13825
Q9NRD5,Q15631
Q15631,Q9NRD5
P46098,Q96CP6
Q96CP6,P46098
P24814,P52286
P52286,P24814
P04147,P21264
P21264,P04147
P23877,P0A6U8
P0A6U8,P23877
P53923,P38904
P38904,P53923
P40955,P43122
P43122,P40955
P22146,Q3E7B6
Q3E7B6,P22146
Q93034,Q5SSJ5
Q5SSJ5,Q93034
P18777,P0ACC3
P0ACC3,P18777
P31947,Q13049
Q13049,P31947
Q6ZN18,Q15910
Q15910,Q6ZN18
Q5TB80,Q8WX93
Q8WX93,Q5TB80
P0A6A8,P0A910
P0A910,P0A6A8
P38429,Q04003
Q04003,P38429
P01106,Q9NXH8
Q9NXH8,P01106
P31553,P0AG93
P0AG93,P31553
O75489,O00217
O00217,O75489
P35206,P23291
P23291,P35206
Q9UHC7,Q96SI9
Q96SI9,Q9UHC7
P47902,Q9NUL3
Q9NUL3,P47902
Q9D7B6,Q5SWW4
Q5SWW4,Q9D7B6
Q8IUE6,P27816
P27816,Q8IUE6
Q9UQ16,O95274
O95274,Q9UQ16
P53195,P41807
P41807,P53195
P80386,P46781
P46781,P80386
P38393,P75864
P75864,P38393
Q8IVM8,Q9H1U9
Q9H1U9,Q8IVM8
A8MZ97,Q9NUX5
Q9NUX5,A8MZ97
Q6DKI2,O00182
O00182,Q6DKI2
P30860,P0A6N4
P0A6N4,P30860
P23291,Q08144
Q08144,P23291
P39727,Q04924
Q04924,P39727
P40465,P25642
P25642,P40465
P01023,P02649
P02649,P01023
Q96RT1,O95405
O95405,Q96RT1
P47054,P23642
P23642,P47054
P35613,Q5SVS4
Q5SVS4,P35613
P53114,P53112
P53112,P53114
P31385,Q99380
Q99380,P31385
P11275,Q8VIL3
Q8VIL3,P11275
P60842,P06748
P06748,P60842
Q9UTD4,O74827
O74827,Q9UTD4
Q04199,P12753
P12753,Q04199
Q8TEY7,P40337
P40337,Q8TEY7
P38902,P53146
P53146,P38902
Q9UHI6,P62306
P62306,Q9UHI6
Q969R8,Q5T011
Q5T011,Q969R8
Q96KS0,Q99814
Q99814,Q96KS0
P18238,P0CG48
P0CG48,P18238
O95817,P61923
P61923,O95817
Q03529,P11075
P11075,Q03529
P00330,Q03761
Q03761,P00330
P32797,P32912
P32912,P32797
P40395,Q99260
Q99260,P40395
P08243,P00441
P00441,P08243
O75947,Q9H244
Q9H244,O75947
Q12102,P17119
P17119,Q12102
P15260,Q7Z4F1
Q7Z4F1,P15260
P87127,Q9HGN4
Q9HGN4,P87127
Q9Y247,P61970
P61970,Q9Y247
P32828,P15705
P15705,P32828
P40056,P40469
P40469,P40056
P0ABD8,P0ABF8
P0ABF8,P0ABD8
P32829,P36161
P36161,P32829
P32381,P21957
P21957,P32381
Q96ME1,Q13309
Q13309,Q96ME1
O80646,Q9LZ57
Q9LZ57,O80646
P61830,P53972
P53972,P61830
P12695,P32795
P32795,P12695
P24539,Q9NX36
Q9NX36,P24539
O94534,Q09933
Q09933,O94534
Q92769,Q9UBB5
Q9UBB5,Q92769
P31553,P76077
P76077,P31553
P31385,P32524
P32524,P31385
P35222,Q9Y265
Q9Y265,P35222
P36046,P10080
P10080,P36046
Q9P795,O42706
O42706,Q9P795
Q9H8V3,Q9Y5B9
Q9Y5B9,Q9H8V3
Q14254,Q86Y91
Q86Y91,Q14254
Q04368,P53883
P53883,Q04368
P37773,P11290
P11290,P37773
Q9Y478,Q13131
Q13131,Q9Y478
P09405,P62242
P62242,P09405
P77154,P77337
P77337,P77154
P23594,Q12346
Q12346,P23594
Q96I51,Q04837
Q04837,Q96I51
Q9P0M6,Q9NQ55
Q9NQ55,Q9P0M6
Q95ZK7,Q8I4M5
Q8I4M5,Q95ZK7
Q99571,Q8N2A8
Q8N2A8,Q99571
P08050,P21533
P21533,P08050
P49770,P32249
P32249,P49770
O35618,P02340
P02340,O35618
Q04493,P24276
P24276,Q04493
P81605,Q4G0J3
Q4G0J3,P81605
Q06675,P40568
P40568,Q06675
P04792,Q12874
Q12874,P04792
P61830,P32597
P32597,P61830
P25847,P53156
P53156,P25847
Q01846,Q07878
Q07878,Q01846
Q10265,Q9UUG9
Q9UUG9,Q10265
Q99436,Q13200
Q13200,Q99436
Q08966,Q08144
Q08144,Q08966
P0AC02,P62620
P62620,P0AC02
Q12315,Q08693
Q08693,Q12315
Q08117,Q3KQV3
Q3KQV3,Q08117
P71237,P76017
P76017,P71237
P32784,Q08732
Q08732,P32784
P63086,P62425
P62425,P63086
Q12393,P38782
P38782,Q12393
P11182,Q04837
Q04837,P11182
P51957,P54219
P54219,P51957
P25378,P40150
P40150,P25378
P49956,P25588
P25588,P49956
P52272,Q9H492
Q9H492,P52272
P54115,P17536
P17536,P54115
P77337,P0AD07
P0AD07,P77337
P14284,P17536
P17536,P14284
P17115,P62723
P62723,P17115
P32481,P07273
P07273,P32481
Q9UMX1,P26651
P26651,Q9UMX1
Q9NWM3,O60784
O60784,Q9NWM3
P39517,P19736
P19736,P39517
P34246,P00927
P00927,P34246
Q9NYY8,Q9NPE2
Q9NPE2,Q9NYY8
P43639,P53863
P53863,P43639
P26188,P23503
P23503,P26188
P20486,P36017
P36017,P20486
O61267,P20659
P20659,O61267
Q9H5Z6,Q5VSY0
Q5VSY0,Q9H5Z6
Q9H2A7,Q8N6L0
Q8N6L0,Q9H2A7
Q6ZMZ0,Q15436
Q15436,Q6ZMZ0
Q09170,P28040
P28040,Q09170
P0AGB3,P71244
P71244,P0AGB3
P35179,P52870
P52870,P35179
P32903,P39994
P39994,P32903
P38813,P40986
P40986,P38813
P49770,Q9UI10
Q9UI10,P49770
P0AEF8,P69797
P69797,P0AEF8
Q16576,Q12772
Q12772,Q16576
Q9Y383,O75494
O75494,Q9Y383
O95235,Q96EE3
Q96EE3,O95235
Q9R1X4,Q9R1X4
