protein_name1,protein_name2
O04492,Q9C5Q8
Q9C5Q8,O04492
P03953,P61358
P61358,P03953
P40993,P12954
P12954,P40993
Q09819,O60059
O60059,Q09819
P43568,P25344
P25344,P43568
P26218,P27832
P27832,P26218
P25942,Q13114
Q13114,P25942
Q12038,P40102
P40102,Q12038
Q7Z434,Q8IXI1
Q8IXI1,Q7Z434
Q02732,P40987
P40987,Q02732
Q8TBJ4,O00186
O00186,Q8TBJ4
Q9SAF1,P49597
P49597,Q9SAF1
Q13155,Q15046
Q15046,Q13155
P41543,P48439
P48439,P41543
Q12178,P36100
P36100,Q12178
P38883,P24000
P24000,P38883
P69924,P0C0R7
P0C0R7,P69924
Q7L2E3,P28331
P28331,Q7L2E3
Q16537,Q16537
P06778,P35187
P35187,P06778
P08638,Q06266
Q06266,P08638
Q46897,P15005
P15005,Q46897
Q96FN4,Q15437
Q15437,Q96FN4
Q8N766,P31949
P31949,Q8N766
P40505,P38829
P38829,P40505
P38928,P39946
P39946,P38928
P16220,Q9BY41
Q9BY41,P16220
P78396,Q0VD86
Q0VD86,P78396
Q96BJ3,Q8NFB2
Q8NFB2,Q96BJ3
Q99714,O95455
O95455,Q99714
P40509,P30777
P30777,P40509
P48412,Q04338
Q04338,P48412
Q06704,P38704
P38704,Q06704
P53982,Q06213
Q06213,P53982
Q09248,Q9XW79
Q9XW79,Q09248
O76767,O18405
O18405,O76767
P33892,P22336
P22336,P33892
P54839,Q03761
Q03761,P54839
P02309,Q03125
Q03125,P02309
P05067,Q15059
Q15059,P05067
Q9Y446,Q9Y5S9
Q9Y5S9,Q9Y446
Q12465,P53921
P53921,Q12465
Q9NYG5,Q16763
Q16763,Q9NYG5
Q9H2F5,Q9NV56
Q9NV56,Q9H2F5
O15105,P46937
P46937,O15105
O74834,Q9UTD3
Q9UTD3,O74834
Q0VEJ0,P68368
P68368,Q0VEJ0
P00533,O75674
O75674,P00533
P25644,O94742
O94742,P25644
Q9H5Z6,Q9BZR9
Q9BZR9,Q9H5Z6
P32892,P38789
P38789,P32892
P20436,P27999
P27999,P20436
P25301,P32828
P32828,P25301
P32352,P47017
P47017,P32352
Q9Z1S0,Q91WA3
Q91WA3,Q9Z1S0
O14161,P41412
P41412,O14161
Q2VPU4,Q9JLN9
Q9JLN9,Q2VPU4
P40318,P40318
Q8WXE1,P53286
P53286,Q8WXE1
Q92538,Q9NVA2
Q9NVA2,Q92538
Q05468,P40992
P40992,Q05468
P48439,Q02939
Q02939,P48439
P06787,P13902
P13902,P06787
P83369,Q62376
Q62376,P83369
Q94420,Q9BJK5
Q9BJK5,Q94420
Q12015,P32571
P32571,Q12015
Q9H845,P60953
P60953,Q9H845
P35610,Q96GX1
Q96GX1,P35610
P33331,P40477
P40477,P33331
P76085,P0AEU7
P0AEU7,P76085
Q9Y664,Q96EV2
Q96EV2,Q9Y664
P40464,Q12680
Q12680,P40464
Q2V3B2,Q9SJJ5
Q9SJJ5,Q2V3B2
P13987,Q15691
Q15691,P13987
Q12142,Q12510
Q12510,Q12142
O94461,O94728
O94728,O94461
P53849,P02407
P02407,P53849
O75355,Q5JX71
Q5JX71,O75355
P42858,P11940
P11940,P42858
P31382,Q03656
Q03656,P31382
P54861,P33420
P33420,P54861
P62753,O95793
O95793,P62753
P11076,Q06336
Q06336,P11076
P75733,P65298
P65298,P75733
P28496,P38703
P38703,P28496
P38715,P26570
P26570,P38715
Q07807,P33759
P33759,Q07807
Q9HC98,Q16825
Q16825,Q9HC98
P33300,P38882
P38882,P33300
Q9BX63,Q96T76
Q96T76,Q9BX63
Q7LBR1,Q13415
Q13415,Q7LBR1
O14633,Q9NZF1
Q9NZF1,O14633
P0A6J8,P64448
P64448,P0A6J8
P40527,Q08949
Q08949,P40527
P56746,Q8TB61
Q8TB61,P56746
O14319,P36616
P36616,O14319
P40991,P36070
P36070,P40991
P23898,P69805
P69805,P23898
P53039,P20107
P20107,P53039
Q13547,O43474
O43474,Q13547
O43752,Q9BV40
Q9BV40,O43752
Q96BI3,Q92542
Q92542,Q96BI3
Q9LXA9,Q9XI07
Q9XI07,Q9LXA9
P20449,P53949
P53949,P20449
Q02804,P02829
P02829,Q02804
P32831,P36105
P36105,P32831
Q676U5,Q13185
Q13185,Q676U5
P38328,P20484
P20484,P38328
P20449,P39015
P39015,P20449
P57775,P40227
P40227,P57775
Q06139,Q08215
Q08215,Q06139
Q08601,P25294
P25294,Q08601
P04821,Q12254
Q12254,P04821
P25337,Q12379
Q12379,P25337
P38770,Q06102
Q06102,P38770
P54132,Q92547
Q92547,P54132
P38147,P15938
P15938,P38147
O94992,P05388
P05388,O94992
P10275,Q9UBL3
Q9UBL3,P10275
P0AAG0,P41052
P41052,P0AAG0
Q8N960,Q92997
Q92997,Q8N960
P13434,Q12049
Q12049,P13434
Q12018,P24814
P24814,Q12018
P35219,P49862
P49862,P35219
P32767,P11655
P11655,P32767
Q12382,Q03465
Q03465,Q12382
P32642,P49723
P49723,P32642
Q8NHV4,Q15468
Q15468,Q8NHV4
Q7Z6J4,Q99959
Q99959,Q7Z6J4
P21269,P10174
P10174,P21269
Q94K73,Q1EC66
Q1EC66,Q94K73
P10591,Q12447
Q12447,P10591
P03372,P82673
P82673,P03372
Q12509,P47110
P47110,Q12509
Q00772,Q06325
Q06325,Q00772
P42644,Q9SXZ2
Q9SXZ2,P42644
P32324,P38011
P38011,P32324
Q8TD16,Q9Y2G2
Q9Y2G2,Q8TD16
P32863,Q12216
Q12216,P32863
P62495,P67775
P67775,P62495
Q9P7X0,Q10180
Q10180,Q9P7X0
P38325,Q12420
Q12420,P38325
Q5T440,Q9HBL8
Q9HBL8,Q5T440
P25087,P33296
P33296,P25087
Q12386,P46674
P46674,Q12386
P22204,Q04734
Q04734,P22204
