drugid1,drugid2
DB00834,DB00537
DB00537,DB01035
DB01035,DB00537
DB01169,DB00537
DB00537,DB01169
DB00537,DB01175
DB01175,DB00537
DB00537,DB01218
DB01218,DB00537
DB01244,DB00537
DB00537,DB01244
DB00537,DB01267
DB01267,DB00537
DB00537,DB01356
DB01356,DB00537
DB00537,DB04844
DB04844,DB00537
DB06216,DB00537
DB00537,DB06216
DB00537,DB11730
DB11730,DB00537
DB00537,DB11978
DB11978,DB00537
DB00537,DB12161
DB12161,DB00537
DB00537,DB13074
DB13074,DB00537
DB00537,DB00604
DB00604,DB00537
DB00537,DB00556
DB00556,DB00537
DB00640,DB00537
DB00537,DB00640
DB00537,DB00757
DB00757,DB00537
DB00537,DB00889
DB00889,DB00537
DB00537,DB00904
DB00904,DB00537
DB00537,DB00933
DB00933,DB00537
DB00537,DB00976
DB00976,DB00537
DB00537,DB01113
DB01113,DB00537
DB00537,DB01599
DB01599,DB00537
DB00537,DB06402
DB06402,DB00537
DB08903,DB00537
DB00537,DB08903
DB00537,DB09078
DB09078,DB00537
DB11640,DB00537
DB00537,DB11640
DB00537,DB00836
DB00836,DB00537
DB00537,DB11718
DB11718,DB00537
DB00537,DB00582
DB00582,DB00537
DB00537,DB00674
DB00674,DB00537
DB00714,DB00537
DB00537,DB00714
DB00537,DB00734
DB00734,DB00537
DB00537,DB00871
DB00871,DB00537
DB00537,DB00927
DB00927,DB00537
DB00537,DB00983
DB00983,DB00537
DB00537,DB01001
DB01001,DB00537
DB00537,DB01036
DB01036,DB00537
DB00537,DB01236
DB01236,DB00537
DB01246,DB00537
DB00537,DB01246
DB01274,DB00537
DB00537,DB01274
DB00537,DB01403
DB01403,DB00537
DB00537,DB01591
DB01591,DB00537
DB00537,DB04953
DB04953,DB00537
DB00537,DB05039
DB05039,DB00537
DB06288,DB00537
DB00537,DB06288
DB00537,DB06663
DB06663,DB00537
DB00537,DB06699
DB06699,DB00537
DB00537,DB06788
DB06788,DB00537
DB00537,DB06825
DB06825,DB00537
DB00537,DB08871
DB08871,DB00537
DB00537,DB08893
DB08893,DB00537
DB00537,DB09080
DB09080,DB00537
DB00537,DB01069
DB01069,DB00537
DB00543,DB00537
DB00537,DB00543
DB00537,DB00726
DB00726,DB00537
DB00537,DB00818
DB00818,DB00537
DB00537,DB01026
DB01026,DB00537
DB00537,DB01167
DB01167,DB00537
DB00537,DB01263
DB01263,DB00537
DB00537,DB01611
DB01611,DB00537
DB00537,DB08864
DB08864,DB00537
DB00537,DB00845
DB00845,DB00537
DB00537,DB11796
DB11796,DB00537
DB00537,DB01151
DB01151,DB00537
DB00537,DB06717
DB06717,DB00537
DB00537,DB09034
DB09034,DB00537
DB00537,DB11952
DB11952,DB00537
DB00537,DB05239
DB05239,DB00537
DB00537,DB00806
DB00806,DB00537
DB00537,DB01033
DB01033,DB00537
DB01223,DB00537
DB00537,DB01223
DB00537,DB01303
DB01303,DB00537
DB01238,DB00537
DB00537,DB01238
DB14185,DB00537
DB00537,DB14185
DB00537,DB00554
DB00554,DB00537
DB00537,DB00573
DB00573,DB00537
DB00537,DB00580
DB00580,DB00537
DB00537,DB00605
DB00605,DB00537
DB00537,DB00712
DB00712,DB00537
DB00537,DB00749
DB00749,DB00537
DB00537,DB00784
DB00784,DB00537
DB00537,DB00812
DB00812,DB00537
DB00537,DB00814
DB00814,DB00537
DB00537,DB00861
DB00861,DB00537
DB00537,DB00903
DB00903,DB00537
DB00537,DB00939
DB00939,DB00537
DB00958,DB00537
DB00537,DB00958
DB00537,DB00991
DB00991,DB00537
DB00537,DB01009
DB01009,DB00537
DB01014,DB00537
DB00537,DB01014
DB00537,DB01399
DB01399,DB00537
DB01401,DB00537
DB00537,DB01401
DB00537,DB01050
DB01050,DB00537
DB00537,DB00553
DB00553,DB00537
DB00537,DB00631
DB00631,DB00537
DB00537,DB00665
DB00665,DB00537
DB00537,DB00853
DB00853,DB00537
DB00537,DB01018
DB01018,DB00537
DB00537,DB01024
DB01024,DB00537
DB01101,DB00537
DB00537,DB01101
DB00537,DB01105
DB01105,DB00537
DB01156,DB00537
DB00537,DB01156
DB00537,DB08932
DB08932,DB00537
DB00537,DB11127
DB11127,DB00537
DB00537,DB11135
DB11135,DB00537
DB11136,DB00537
DB00537,DB11136
DB00537,DB11691
DB11691,DB00537
DB00537,DB13139
DB13139,DB00537
DB14006,DB00537
DB00537,DB14006
DB00537,DB06702
DB06702,DB00537
DB11901,DB00537
DB00537,DB11901
DB00537,DB00552
DB00552,DB00537
DB00537,DB12615
DB12615,DB00537
DB00537,DB14509
DB14509,DB00537
DB00537,DB00695
DB00695,DB00537
DB00537,DB09125
DB09125,DB00537
DB00537,DB01395
DB01395,DB00537
DB00537,DB00688
DB00688,DB00537
DB00887,DB00537
DB00537,DB00887
DB00537,DB01168
DB01168,DB00537
DB00537,DB00987
DB00987,DB00537
DB00537,DB04868
DB04868,DB00537
DB00537,DB05294
DB05294,DB00537
DB00537,DB06176
DB06176,DB00537
DB00537,DB06603
DB06603,DB00537
DB09063,DB00537
DB00537,DB09063
DB00537,DB01248
DB01248,DB00537
DB00537,DB05109
DB05109,DB00537
DB12001,DB00537
DB00537,DB12001
DB12267,DB00537
DB00537,DB12267
DB00537,DB01268
DB01268,DB00537
DB00537,DB00675
DB00675,DB00537
DB00537,DB01181
DB01181,DB00537
DB00537,DB08877
DB08877,DB00537
DB00537,DB00773
DB00773,DB00537
DB00537,DB06589
DB06589,DB00537
DB06626,DB00537
DB00537,DB06626
DB00537,DB12978
DB12978,DB00537
DB01118,DB00537
DB00537,DB01118
DB00537,DB01254
DB01254,DB00537
DB00537,DB04855
DB04855,DB00537
DB01008,DB00537
DB00537,DB01008
DB00537,DB00541
DB00541,DB00537
DB00537,DB00762
DB00762,DB00537
DB06772,DB00537
DB00537,DB06772
DB00537,DB08865
DB08865,DB00537
DB00537,DB08901
DB08901,DB00537
DB00537,DB12483
DB12483,DB00537
DB00537,DB08881
DB08881,DB00537
DB00537,DB09330
DB09330,DB00537
DB00537,DB14568
DB14568,DB00537
DB00637,DB00537
DB00537,DB00637
DB00537,DB01242
DB01242,DB00537
DB00537,DB08827
DB08827,DB00537
DB00537,DB06212
DB06212,DB00537
DB00537,DB00570
DB00570,DB00537
DB00537,DB00997
DB00997,DB00537
DB00537,DB04572
DB04572,DB00537
DB00537,DB11581
DB11581,DB00537
DB11703,DB00537
DB00537,DB11703
DB00537,DB06595
DB06595,DB00537
DB06616,DB00537
DB00537,DB06616
DB00537,DB09073
DB09073,DB00537
DB00537,DB11828
DB11828,DB00537
DB00537,DB09054
DB09054,DB00537
DB00537,DB00696
DB00696,DB00537
DB01128,DB00537
DB00537,DB01128
DB00537,DB01227
DB01227,DB00537
DB00537,DB00540
DB00540,DB00537
DB00537,DB00755
DB00755,DB00537
DB00537,DB01126
DB01126,DB00537
DB00537,DB12130
DB12130,DB00537
DB00537,DB12301
DB12301,DB00537
DB00537,DB11915
DB11915,DB00537
DB00537,DB00938
DB00938,DB00537
DB09061,DB00537
DB00537,DB09061
DB00537,DB00641
DB00641,DB00537
DB00673,DB00537
DB00537,DB00673
DB00537,DB00820
DB00820,DB00537
DB00608,DB00537
DB00537,DB00608
DB00537,DB00829
DB00829,DB00537
DB00537,DB00909
DB00909,DB00537
DB00537,DB00916
DB00916,DB00537
DB00921,DB00537
DB00537,DB00921
DB00537,DB01211
DB01211,DB00537
DB00537,DB01224
DB01224,DB00537
DB00537,DB01259
DB01259,DB00537
DB06605,DB00537
DB00537,DB06605
DB00537,DB08899
DB08899,DB00537
DB00537,DB09102
DB09102,DB00537
DB00802,DB00537
DB00537,DB00802
DB00537,DB01232
DB01232,DB00537
DB00537,DB01100
DB01100,DB00537
DB00537,DB01229
DB01229,DB00537
DB00537,DB06287
DB06287,DB00537
DB00537,DB00908
DB00908,DB00537
DB00537,DB00625
DB00625,DB00537
DB00537,DB01195
DB01195,DB00537
DB00537,DB01233
DB01233,DB00537
DB00537,DB00977
DB00977,DB00537
DB00537,DB00544
DB00544,DB00537
DB00537,DB00586
DB00586,DB00537
DB00537,DB00642
DB00642,DB00537
DB00537,DB00740
DB00740,DB00537
DB00537,DB00788
DB00788,DB00537
DB00537,DB00831
DB00831,DB00537
DB00537,DB00850
DB00850,DB00537
DB00537,DB00851
DB00851,DB00537
DB00537,DB00934
DB00934,DB00537
DB00969,DB00537
DB00537,DB00969
DB00537,DB00978
DB00978,DB00537
DB00537,DB01002
DB01002,DB00537
DB00537,DB01065
DB01065,DB00537
DB00537,DB01087
DB01087,DB00537
DB00537,DB01182
DB01182,DB00537
DB00537,DB04948
DB04948,DB00537
DB00537,DB06292
DB06292,DB00537
DB00537,DB09118
DB09118,DB00537
DB00537,DB12245
DB12245,DB00537
DB00537,DB12332
DB12332,DB00537
DB00537,DB11757
DB11757,DB00537
DB00537,DB01142
DB01142,DB00537
DB00537,DB01030
DB01030,DB00537
DB00537,DB12887
DB12887,DB00537
DB00537,DB12500
DB12500,DB00537
DB00537,DB12141
DB12141,DB00537
DB00537,DB14840
DB14840,DB00537
DB00537,DB15822
DB15822,DB00537
DB00537,DB01377
DB01377,DB00537
DB00537,DB01390
DB01390,DB00537
DB06723,DB00537
DB00537,DB06723
DB06724,DB00537
DB00537,DB06724
DB00537,DB08938
DB08938,DB00537
DB00537,DB09104
DB09104,DB00537
DB00537,DB09481
DB09481,DB00537
DB00537,DB00581
DB00581,DB00537
DB00537,DB12371
DB12371,DB00537
DB00537,DB00697
DB00697,DB00537
DB00537,DB11921
DB11921,DB00537
DB00537,DB00656
DB00656,DB00537
DB00537,DB11986
DB11986,DB00537
DB00537,DB11642
DB11642,DB00537
DB00537,DB12825
DB12825,DB00537
DB00537,DB01016
DB01016,DB00537
DB00537,DB15035
DB15035,DB00537
DB00537,DB14975
DB14975,DB00537
DB00537,DB09237
DB09237,DB00537
DB00537,DB11951
DB11951,DB00537
DB00537,DB06077
DB06077,DB00537
DB00537,DB15328
DB15328,DB00537
DB00537,DB00557
DB00557,DB00537
DB00537,DB12457
DB12457,DB00537
DB00537,DB14513
DB14513,DB00537
DB00537,DB11689
DB11689,DB00537
DB00537,DB15102
DB15102,DB00537
DB11791,DB00537
DB00537,DB11791
DB00537,DB15685
DB15685,DB00537
DB00537,DB12674
DB12674,DB00537
DB06616,DB00539
DB00539,DB06616
DB06589,DB00539
DB00539,DB06589
DB00562,DB00539
DB00539,DB00562
DB00774,DB00539
DB00539,DB00774
DB00808,DB00539
DB00539,DB00808
DB00880,DB00539
DB00539,DB00880
DB00999,DB00539
DB00539,DB00999
DB00539,DB01021
DB01021,DB00539
DB01324,DB00539
DB00539,DB01324
DB06206,DB00539
DB00539,DB06206
DB00539,DB00682
DB00682,DB00539
DB00997,DB00539
DB00539,DB00997
DB00556,DB00539
DB00539,DB00556
DB00608,DB00539
DB00539,DB00608
DB00625,DB00539
DB00539,DB00625
DB00640,DB00539
DB00539,DB00640
DB00738,DB00539
DB00539,DB00738
DB00757,DB00539
DB00539,DB00757
DB00836,DB00539
DB00539,DB00836
DB00889,DB00539
DB00539,DB00889
DB00933,DB00539
DB00539,DB00933
DB00976,DB00539
DB00539,DB00976
DB00978,DB00539
DB00539,DB00978
DB01087,DB00539
DB00539,DB01087
DB01113,DB00539
DB00539,DB01113
DB01137,DB00539
DB00539,DB01137
DB01155,DB00539
DB00539,DB01155
DB01165,DB00539
DB00539,DB01165
DB01182,DB00539
DB00539,DB01182
DB01211,DB00539
DB00539,DB01211
DB01388,DB00539
DB00539,DB01388
DB01599,DB00539
DB00539,DB01599
DB04948,DB00539
DB00539,DB04948
DB06402,DB00539
DB00539,DB06402
DB09078,DB00539
DB00539,DB09078
DB01224,DB00539
DB00539,DB01224
DB01232,DB00539
DB00539,DB01232
DB01242,DB00539
DB00539,DB01242
DB01227,DB00539
DB00539,DB01227
DB11718,DB00539
DB00539,DB11718
DB00543,DB00539
DB00539,DB00543
DB00539,DB00582
DB00582,DB00539
DB00674,DB00539
DB00539,DB00674
DB00675,DB00539
DB00539,DB00675
DB00697,DB00539
DB00539,DB00697
DB00714,DB00539
DB00539,DB00714
DB00734,DB00539
DB00539,DB00734
DB00818,DB00539
DB00539,DB00818
DB00871,DB00539
DB00539,DB00871
DB00916,DB00539
DB00539,DB00916
DB00927,DB00539
DB00539,DB00927
DB00934,DB00539
DB00539,DB00934
DB00938,DB00539
DB00539,DB00938
DB00949,DB00539
DB00539,DB00949
DB00983,DB00539
DB00539,DB00983
DB01001,DB00539
DB00539,DB01001
DB01015,DB00539
DB00539,DB01015
DB01026,DB00539
DB00539,DB01026
DB01044,DB00539
DB00539,DB01044
DB01059,DB00539
DB00539,DB01059
DB01069,DB00539
DB00539,DB01069
DB01072,DB00539
DB00539,DB01072
DB01151,DB00539
DB00539,DB01151
DB01167,DB00539
DB00539,DB01167
DB01236,DB00539
DB00539,DB01236
DB01238,DB00539
DB00539,DB01238
DB01246,DB00539
DB00539,DB01246
DB01259,DB00539
DB00539,DB01259
DB01263,DB00539
DB00539,DB01263
DB01268,DB00539
DB00539,DB01268
DB01274,DB00539
DB00539,DB01274
DB01403,DB00539
DB00539,DB01403
DB01591,DB00539
DB00539,DB01591
DB01611,DB00539
DB00539,DB01611
DB05039,DB00539
DB00539,DB05039
DB06288,DB00539
DB00539,DB06288
DB06699,DB00539
DB00539,DB06699
DB00539,DB06825
DB06825,DB00539
DB08871,DB00539
DB00539,DB08871
DB09080,DB00539
DB00539,DB09080
DB00539,DB12245
DB12245,DB00539
DB14185,DB00539
DB00539,DB14185
DB01142,DB00539
DB00539,DB01142
DB08864,DB00539
DB00539,DB08864
DB00845,DB00539
DB00539,DB00845
DB11796,DB00539
DB00539,DB11796
DB00619,DB00539
DB00539,DB00619
DB00679,DB00539
DB00539,DB00679
DB00834,DB00539
DB00539,DB00834
DB01035,DB00539
DB00539,DB01035
DB01169,DB00539
DB00539,DB01169
DB01175,DB00539
DB00539,DB01175
DB01208,DB00539
DB00539,DB01208
DB01218,DB00539
DB00539,DB01218
DB01244,DB00539
DB00539,DB01244
DB01267,DB00539
DB00539,DB01267
DB01356,DB00539
DB00539,DB01356
DB04844,DB00539
DB00539,DB04844
DB04868,DB00539
DB00539,DB04868
DB04946,DB00539
DB00539,DB04946
DB00539,DB05294
DB05294,DB00539
DB06216,DB00539
DB00539,DB06216
DB09083,DB00539
DB00539,DB09083
DB11730,DB00539
DB00539,DB11730
DB11978,DB00539
DB00539,DB11978
DB12161,DB00539
DB00539,DB12161
DB13074,DB00539
DB00539,DB13074
DB00637,DB00539
DB00539,DB00637
DB01100,DB00539
DB00539,DB01100
DB01118,DB00539
DB00539,DB01118
DB00604,DB00539
DB00539,DB00604
DB00539,DB08881
DB08881,DB00539
DB11642,DB00539
DB00539,DB11642
DB06636,DB00539
DB00539,DB06636
DB11952,DB00539
DB00539,DB11952
DB11979,DB00539
DB00539,DB11979
DB12332,DB00539
DB00539,DB12332
DB08820,DB00539
DB00539,DB08820
DB00872,DB00539
DB00539,DB00872
DB12500,DB00539
DB00539,DB12500
DB05521,DB00539
DB00539,DB05521
DB09065,DB00539
DB00539,DB09065
DB00539,DB00661
DB00661,DB00539
DB12887,DB00539
DB00539,DB12887
DB11951,DB00539
DB00539,DB11951
DB00864,DB00539
DB00539,DB00864
DB06603,DB00539
DB00539,DB06603
DB09063,DB00539
DB00539,DB09063
DB08912,DB00539
DB00539,DB08912
DB06176,DB00539
DB00539,DB06176
DB00877,DB00539
DB00539,DB00877
DB00908,DB00539
DB00539,DB00908
DB06287,DB00539
DB00539,DB06287
DB08889,DB00539
DB00539,DB08889
DB08910,DB00539
DB00539,DB08910
DB09330,DB00539
DB00539,DB09330
DB01254,DB00539
DB00539,DB01254
DB00540,DB00539
DB00539,DB00540
DB00539,DB00726
DB00726,DB00539
DB00539,DB00862
DB00862,DB00539
DB00539,DB00656
DB00656,DB00539
DB11986,DB00539
DB00539,DB11986
DB12825,DB00539
DB00539,DB12825
DB04855,DB00539
DB00539,DB04855
DB06119,DB00539
DB00539,DB06119
DB00557,DB00539
DB00539,DB00557
DB00539,DB11652
DB11652,DB00539
DB00631,DB00541
DB00541,DB00631
DB00958,DB00541
DB00541,DB00958
DB01041,DB00541
DB00541,DB01041
DB12612,DB00541
DB00541,DB12612
DB01611,DB00541
DB00541,DB01611
DB01656,DB00541
DB00541,DB01656
DB06413,DB00541
DB00541,DB06413
DB01167,DB00541
DB00541,DB01167
DB01097,DB00541
DB00541,DB01097
DB00864,DB00541
DB00541,DB00864
DB00641,DB00541
DB00541,DB00641
DB05521,DB00541
DB00541,DB05521
DB06636,DB00541
DB00541,DB06636
DB08816,DB00541
DB00541,DB08816
DB09073,DB00541
DB00541,DB09073
DB09102,DB00541
DB00541,DB09102
DB09291,DB00541
DB00541,DB09291
DB12332,DB00541
DB00541,DB12332
DB01234,DB00541
DB00541,DB01234
DB01174,DB00541
DB00541,DB01174
DB08912,DB00541
DB00541,DB08912
DB01201,DB00541
DB00541,DB01201
DB09074,DB00541
DB00541,DB09074
DB01059,DB00541
DB00541,DB01059
DB11952,DB00541
DB00541,DB11952
DB09061,DB00541
DB00541,DB09061
DB12130,DB00541
DB00541,DB12130
DB00822,DB00541
DB00541,DB00822
DB00900,DB00541
DB00541,DB00900
DB14761,DB00541
DB00541,DB14761
DB01264,DB00541
DB00541,DB01264
DB00542,DB01235
DB01235,DB00542
DB00542,DB00734
DB00734,DB00542
DB00542,DB00806
DB00806,DB00542
DB00543,DB00542
DB00542,DB00543
DB00542,DB00726
DB00726,DB00542
DB00542,DB00777
DB00777,DB00542
DB00542,DB01142
DB01142,DB00542
DB00542,DB01151
DB01151,DB00542
DB00542,DB01403
DB01403,DB00542
DB00542,DB04946
DB04946,DB00542
DB06216,DB00542
DB00542,DB06216
DB00542,DB04948
DB04948,DB00542
DB00542,DB00700
DB00700,DB00542
DB00542,DB01590
DB01590,DB00542
DB00542,DB00727
DB00727,DB00542
DB00542,DB00800
DB00800,DB00542
DB00542,DB11362
DB11362,DB00542
DB00542,DB09237
DB09237,DB00542
DB00542,DB00554
DB00554,DB00542
DB00542,DB00573
DB00573,DB00542
DB00542,DB00580
DB00580,DB00542
DB00542,DB00586
DB00586,DB00542
DB00542,DB00605
DB00605,DB00542
DB00542,DB00749
DB00749,DB00542
DB00542,DB00788
DB00788,DB00542
DB00542,DB01009
DB01009,DB00542
DB00542,DB00820
DB00820,DB00542
DB00542,DB00862
DB00862,DB00542
DB00542,DB00601
DB00601,DB00542
DB00542,DB00614
DB00614,DB00542
DB00542,DB00780
DB00780,DB00542
DB00542,DB01037
DB01037,DB00542
DB00542,DB01168
DB01168,DB00542
DB00542,DB01247
DB01247,DB00542
DB00542,DB01367
DB01367,DB00542
DB00542,DB14006
DB14006,DB00542
DB00542,DB00903
DB00903,DB00542
DB00542,DB01144
DB01144,DB00542
DB00542,DB00661
DB00661,DB00542
DB00594,DB00542
DB00542,DB00594
DB00542,DB00761
DB00761,DB00542
DB00542,DB06715
DB06715,DB00542
DB00542,DB09125
DB09125,DB00542
DB00542,DB09413
DB09413,DB00542
DB00542,DB11098
DB11098,DB00542
DB00542,DB13620
DB13620,DB00542
DB00542,DB00622
DB00622,DB00542
DB00542,DB01023
DB01023,DB00542
DB00542,DB01388
DB01388,DB00542
DB00542,DB06792
DB06792,DB00542
DB00542,DB00678
DB00678,DB00542
DB00542,DB00796
DB00796,DB00542
DB00542,DB00898
DB00898,DB00542
DB00542,DB00731
DB00731,DB00542
DB00542,DB01016
DB01016,DB00542
DB00542,DB01261
DB01261,DB00542
DB06203,DB00542
DB00542,DB06203
DB00542,DB08882
DB08882,DB00542
DB00542,DB09038
DB09038,DB00542
DB00542,DB11827
DB11827,DB00542
DB00542,DB01224
DB01224,DB00542
DB00542,DB00562
DB00562,DB00542
DB00542,DB00774
DB00774,DB00542
DB00542,DB01021
DB01021,DB00542
DB00542,DB01324
DB01324,DB00542
DB00543,DB00700
DB00700,DB00543
DB00543,DB00796
DB00796,DB00543
DB00543,DB09237
DB09237,DB00543
DB00543,DB01247
DB01247,DB00543
DB00543,DB00898
DB00898,DB00543
DB00543,DB00972
DB00972,DB00543
DB00543,DB00937
DB00937,DB00543
DB00543,DB06694
DB06694,DB00543
DB00543,DB01064
DB01064,DB00543
DB00543,DB01364
DB01364,DB00543
DB00543,DB00747
DB00747,DB00543
DB00543,DB04843
DB04843,DB00543
DB00819,DB00543
DB00543,DB00819
DB00543,DB01202
DB01202,DB00543
DB00543,DB01155
DB01155,DB00543
DB00543,DB01169
DB01169,DB00543
DB00543,DB09083
DB09083,DB00543
DB00543,DB12332
DB12332,DB00543
DB00543,DB01142
DB01142,DB00543
DB00543,DB00734
DB00734,DB00543
DB00543,DB04946
DB04946,DB00543
DB00543,DB00555
DB00555,DB00543
DB00543,DB00690
DB00690,DB00543
DB00543,DB00842
DB00842,DB00543
DB00543,DB01215
DB01215,DB00543
DB00543,DB01356
DB01356,DB00543
DB00543,DB04948
DB04948,DB00543
DB00543,DB00822
DB00822,DB00543
DB00543,DB01059
DB01059,DB00543
DB00543,DB01012
DB01012,DB00543
DB00543,DB13679
DB13679,DB00543
DB00543,DB01611
DB01611,DB00543
DB00543,DB08864
DB08864,DB00543
DB00543,DB12245
DB12245,DB00543
DB00543,DB01128
DB01128,DB00543
DB00543,DB01037
DB01037,DB00543
DB00543,DB11855
DB11855,DB00543
DB11640,DB00543
DB00543,DB11640
DB00543,DB00800
DB00800,DB00543
DB00543,DB00924
DB00924,DB00543
DB00543,DB01583
DB01583,DB00543
DB00544,DB00552
DB00552,DB00544
DB00544,DB00570
DB00570,DB00544
DB00631,DB00544
DB00544,DB00631
DB00544,DB00642
DB00642,DB00544
DB00694,DB00544
DB00544,DB00694
DB00773,DB00544
DB00544,DB00773
DB00851,DB00544
DB00544,DB00851
DB00544,DB00853
DB00853,DB00544
DB00544,DB00888
DB00888,DB00544
DB00958,DB00544
DB00544,DB00958
DB00970,DB00544
DB00544,DB00970
DB00987,DB00544
DB00544,DB00987
DB00993,DB00544
DB00544,DB00993
DB00997,DB00544
DB00544,DB00997
DB00544,DB01005
DB01005,DB00544
DB01008,DB00544
DB00544,DB01008
DB00544,DB01033
DB01033,DB00544
DB00544,DB01041
DB01041,DB00544
DB00544,DB01042
DB01042,DB00544
DB01073,DB00544
DB00544,DB01073
DB00544,DB01177
DB01177,DB00544
DB00544,DB01204
DB01204,DB00544
DB00544,DB01206
DB01206,DB00544
DB01248,DB00544
DB00544,DB01248
DB01262,DB00544
DB00544,DB01262
DB00544,DB01280
DB01280,DB00544
DB00544,DB04572
DB04572,DB00544
DB06769,DB00544
DB00544,DB06769
DB00544,DB08877
DB08877,DB00544
DB08908,DB00544
DB00544,DB08908
DB00544,DB09054
DB09054,DB00544
DB00544,DB09074
DB09074,DB00544
DB11817,DB00544
DB00544,DB11817
DB00544,DB14219
DB14219,DB00544
DB00544,DB01656
DB01656,DB00544
DB00544,DB08880
DB08880,DB00544
DB00544,DB01097
DB01097,DB00544
DB08868,DB00544
DB00544,DB08868
DB00544,DB01320
DB01320,DB00544
DB00544,DB00563
DB00563,DB00544
DB00544,DB00685
DB00685,DB00544
DB00544,DB01208
DB01208,DB00544
DB00544,DB00808
DB00808,DB00544
DB00544,DB00999
DB00999,DB00544
DB11943,DB00544
DB00544,DB11943
DB00544,DB01181
DB01181,DB00544
DB00544,DB00619
DB00619,DB00544
DB00544,DB12612
DB12612,DB00544
DB00544,DB01044
DB01044,DB00544
DB00544,DB00779
DB00779,DB00544
DB00827,DB00544
DB00544,DB00827
DB00544,DB01137
DB01137,DB00544
DB00544,DB01155
DB01155,DB00544
DB00544,DB01165
DB01165,DB00544
DB00544,DB01059
DB01059,DB00544
DB00544,DB00682
DB00682,DB00544
DB00562,DB00544
DB00544,DB00562
DB00544,DB00774
DB00774,DB00544
DB00880,DB00544
DB00544,DB00880
DB00544,DB01021
DB01021,DB00544
DB00544,DB01324
DB01324,DB00544
DB00544,DB00650
DB00650,DB00544
DB00544,DB11256
DB11256,DB00544
DB00544,DB11596
DB11596,DB00544
DB00754,DB00544
DB00544,DB00754
DB00545,DB00747
DB00747,DB00545
DB04843,DB00545
DB00545,DB04843
DB11640,DB00545
DB00545,DB11640
DB00548,DB00982
DB00982,DB00548
DB01394,DB00549
DB00549,DB01394
DB01256,DB00549
DB00549,DB01256
DB08899,DB00549
DB00549,DB08899
DB00682,DB00549
DB00549,DB00682
DB00582,DB00549
DB00549,DB00582
DB11689,DB00549
DB00549,DB11689
DB08880,DB00549
DB00549,DB08880
DB00912,DB00549
DB00549,DB00912
DB01095,DB00549
DB00549,DB01095
DB11978,DB00549
DB00549,DB11978
DB14185,DB00549
DB00549,DB14185
DB06717,DB00549
DB00549,DB06717
DB11837,DB00549
DB00549,DB11837
DB12141,DB00549
DB00549,DB12141
DB06589,DB00549
DB00549,DB06589
DB06595,DB00549
DB00549,DB06595
DB08865,DB00549
DB00549,DB08865
DB09073,DB00549
DB00549,DB09073
DB00549,DB15035
DB15035,DB00549
DB09054,DB00549
DB00549,DB09054
DB04845,DB00549
DB00549,DB04845
DB08877,DB00549
DB00549,DB08877
DB12978,DB00549
DB00549,DB12978
DB12070,DB00549
DB00549,DB12070
DB01229,DB00549
DB00549,DB01229
DB01097,DB00549
DB00549,DB01097
DB12015,DB00549
DB00549,DB12015
DB11652,DB00549
DB00549,DB11652
DB00563,DB00550
DB00550,DB00563
DB00631,DB00550
DB00550,DB00631
DB00550,DB08880
DB08880,DB00550
DB09054,DB00550
DB00550,DB09054
DB01097,DB00550
DB00550,DB01097
DB00550,DB00682
DB00682,DB00550
DB13074,DB00550
DB00550,DB13074
DB00598,DB00550
DB00550,DB00598
DB12978,DB00550
DB00550,DB12978
DB00552,DB00570
DB00570,DB00552
DB00619,DB00552
DB00552,DB00619
DB00694,DB00552
DB00552,DB00694
DB00773,DB00552
DB00552,DB00773
DB00851,DB00552
DB00552,DB00851
DB00958,DB00552
DB00552,DB00958
DB00987,DB00552
DB00552,DB00987
DB00993,DB00552
DB00552,DB00993
DB01005,DB00552
DB00552,DB01005
DB01008,DB00552
DB00552,DB01008
DB01033,DB00552
DB00552,DB01033
DB00552,DB01041
DB01041,DB00552
DB01042,DB00552
DB00552,DB01042
DB01177,DB00552
DB00552,DB01177
DB01181,DB00552
DB00552,DB01181
DB01204,DB00552
DB00552,DB01204
DB01206,DB00552
DB00552,DB01206
DB00552,DB04572
DB04572,DB00552
DB06769,DB00552
DB00552,DB06769
DB00552,DB08877
DB08877,DB00552
DB00552,DB08880
DB08880,DB00552
DB08908,DB00552
DB00552,DB08908
DB09054,DB00552
DB00552,DB09054
DB09074,DB00552
DB00552,DB09074
DB11817,DB00552
DB00552,DB11817
DB00552,DB12371
DB12371,DB00552
DB12612,DB00552
DB00552,DB12612
DB14219,DB00552
DB00552,DB14219
DB00552,DB01656
DB01656,DB00552
DB01073,DB00552
DB00552,DB01073
DB01280,DB00552
DB00552,DB01280
DB01097,DB00552
DB00552,DB01097
DB00552,DB08895
DB08895,DB00552
DB08868,DB00552
DB00552,DB08868
DB01004,DB00552
DB00552,DB01004
DB01137,DB00552
DB00552,DB01137
DB00552,DB01610
DB01610,DB00552
DB08826,DB00552
DB00552,DB08826
DB11943,DB00552
DB00552,DB11943
DB00563,DB00553
DB00553,DB00563
DB00573,DB00553
DB00553,DB00573
DB00553,DB00580
DB00580,DB00553
DB00712,DB00553
DB00553,DB00712
DB00553,DB00788
DB00788,DB00553
DB00553,DB00795
DB00795,DB00553
DB00903,DB00553
DB00553,DB00903
DB00999,DB00553
DB00553,DB00999
DB01009,DB00553
DB00553,DB01009
DB01050,DB00553
DB00553,DB01050
DB00672,DB00553
DB00553,DB00672
