drugid1,drugid2
DB00433,DB00007
DB00450,DB00007
DB00007,DB00450
DB00477,DB00007
DB00007,DB00477
DB00007,DB00526
DB00526,DB00007
DB00537,DB00007
DB00007,DB00537
DB00007,DB00556
DB00556,DB00007
DB00608,DB00007
DB00007,DB00608
DB00640,DB00007
DB00007,DB00640
DB00007,DB00738
DB00738,DB00007
DB00757,DB00007
DB00007,DB00757
DB00889,DB00007
DB00007,DB00889
DB00007,DB00904
DB00904,DB00007
DB00007,DB00933
DB00933,DB00007
DB00007,DB00978
DB00978,DB00007
DB00007,DB01087
DB01087,DB00007
DB00007,DB01113
DB01113,DB00007
DB00007,DB01137
DB01137,DB00007
DB01155,DB00007
DB00007,DB01155
DB00007,DB01165
DB01165,DB00007
DB00007,DB01182
DB01182,DB00007
DB01195,DB00007
DB00007,DB01195
DB00007,DB01599
DB01599,DB00007
DB00007,DB04948
DB04948,DB00007
DB00007,DB06402
DB06402,DB00007
DB00007,DB06589
DB06589,DB00007
DB00007,DB06603
DB06603,DB00007
DB08865,DB00007
DB00007,DB08865
DB08903,DB00007
DB00007,DB08903
DB09063,DB00007
DB00007,DB09063
DB09078,DB00007
DB00007,DB09078
DB12141,DB00007
DB00007,DB12141
DB14568,DB00007
DB00007,DB14568
DB00625,DB00007
DB00007,DB00625
DB00007,DB00836
DB00836,DB00007
DB00007,DB00976
DB00976,DB00007
DB01211,DB00007
DB00007,DB01211
DB00007,DB01224
DB01224,DB00007
DB00007,DB01227
DB01227,DB00007
DB00007,DB01232
DB01232,DB00007
DB00321,DB00007
DB00007,DB00321
DB00458,DB00007
DB00007,DB00458
DB01242,DB00007
DB00007,DB01242
DB11718,DB00007
DB00007,DB11718
DB00196,DB00007
DB00007,DB00196
DB00007,DB00285
DB00285,DB00007
DB00289,DB00007
DB00007,DB00289
DB00007,DB00334
DB00334,DB00007
DB00007,DB00344
DB00344,DB00007
DB00346,DB00007
DB00007,DB00346
DB00007,DB00358
DB00358,DB00007
DB00007,DB00370
DB00370,DB00007
DB00007,DB00398
DB00398,DB00007
DB00529,DB00007
DB00007,DB00529
DB00543,DB00007
DB00007,DB00543
DB00674,DB00007
DB00007,DB00674
DB00007,DB00675
DB00675,DB00007
DB00007,DB00697
DB00697,DB00007
DB00714,DB00007
DB00007,DB00714
DB00007,DB00734
DB00734,DB00007
DB00007,DB00818
DB00818,DB00007
DB00007,DB00871
DB00871,DB00007
DB00007,DB00916
DB00916,DB00007
DB00927,DB00007
DB00007,DB00927
DB00007,DB00934
DB00934,DB00007
DB00007,DB00938
DB00938,DB00007
DB00983,DB00007
DB00007,DB00983
DB00007,DB01001
DB01001,DB00007
DB00007,DB01015
DB01015,DB00007
DB01044,DB00007
DB00007,DB01044
DB00007,DB01059
DB01059,DB00007
DB00007,DB01069
DB01069,DB00007
DB00007,DB01236
DB01236,DB00007
DB01238,DB00007
DB00007,DB01238
DB01246,DB00007
DB00007,DB01246
DB01259,DB00007
DB00007,DB01259
DB00007,DB01268
DB01268,DB00007
DB01274,DB00007
DB00007,DB01274
DB00007,DB01403
DB01403,DB00007
DB00007,DB01591
DB01591,DB00007
DB01611,DB00007
DB00007,DB01611
DB04953,DB00007
DB00007,DB04953
DB05039,DB00007
DB00007,DB05039
DB06288,DB00007
DB00007,DB06288
DB00007,DB06663
DB06663,DB00007
DB08871,DB00007
DB00007,DB08871
DB00007,DB09080
DB09080,DB00007
DB00007,DB12245
DB12245,DB00007
DB14185,DB00007
DB00007,DB14185
DB00007,DB00726
DB00726,DB00007
DB00007,DB00540
DB00540,DB00007
DB00007,DB00582
DB00582,DB00007
DB00007,DB00862
DB00862,DB00007
DB00007,DB00864
DB00864,DB00007
DB01026,DB00007
DB00007,DB01026
DB01254,DB00007
DB00007,DB01254
DB00007,DB01263
DB01263,DB00007
DB00007,DB08864
DB08864,DB00007
DB01142,DB00007
DB00007,DB01142
DB01151,DB00007
DB00007,DB01151
DB00845,DB00007
DB00007,DB00845
DB11796,DB00007
DB00007,DB11796
DB00007,DB00193
DB00193,DB00007
DB00007,DB00377
DB00377,DB00007
DB00007,DB09104
DB09104,DB00007
DB00007,DB11915
DB11915,DB00007
DB00007,DB13139
DB13139,DB00007
DB00007,DB14509
DB14509,DB00007
DB00007,DB00382
DB00382,DB00007
DB00007,DB00331
DB00331,DB00007
DB00007,DB00656
DB00656,DB00007
DB11986,DB00007
DB00007,DB11986
DB12825,DB00007
DB00007,DB12825
DB00557,DB00007
DB00007,DB00557
DB00007,DB00246
DB00246,DB00007
DB00502,DB00007
DB00007,DB00502
DB00472,DB00007
DB00007,DB00472
DB00014,DB09083
DB09083,DB00014
DB00014,DB00197
DB00197,DB00014
DB00222,DB00014
DB00014,DB00222
DB00284,DB00014
DB00014,DB00284
DB00014,DB00412
DB00412,DB00014
DB00414,DB00014
DB00014,DB00414
DB00014,DB00491
DB00491,DB00014
DB00672,DB00014
DB00014,DB00672
DB00014,DB00731
DB00731,DB00014
DB00014,DB00839
DB00839,DB00014
DB00014,DB00912
DB00912,DB00014
DB01016,DB00014
DB00014,DB01016
DB01067,DB00014
DB00014,DB01067
DB00014,DB01124
DB01124,DB00014
DB00014,DB01132
DB01132,DB00014
DB00014,DB01261
DB01261,DB00014
DB00014,DB01278
DB01278,DB00014
DB06203,DB00014
DB00014,DB06203
DB00014,DB06335
DB06335,DB00014
DB00014,DB08882
DB08882,DB00014
DB08907,DB00014
DB00014,DB08907
DB09038,DB00014
DB00014,DB09038
DB00014,DB09265
DB09265,DB00014
DB11827,DB00014
DB00014,DB11827
DB00014,DB13928
DB13928,DB00014
DB00204,DB00014
DB00014,DB00204
DB00215,DB00014
DB00014,DB00215
DB00261,DB00014
DB00014,DB00261
DB00280,DB00014
DB00014,DB00280
DB00014,DB00308
DB00308,DB00014
DB00014,DB00342
DB00342,DB00014
DB00014,DB00365
DB00365,DB00014
DB00014,DB00468
DB00468,DB00014
DB00014,DB00489
DB00489,DB00014
DB00014,DB00539
DB00539,DB00014
DB00604,DB00014
DB00014,DB00604
DB00637,DB00014
DB00014,DB00637
DB00014,DB00679
DB00679,DB00014
DB00014,DB00834
DB00834,DB00014
DB00014,DB00908
DB00908,DB00014
DB00014,DB01035
DB01035,DB00014
DB00014,DB01100
DB01100,DB00014
DB01118,DB00014
DB00014,DB01118
DB01169,DB00014
DB00014,DB01169
DB01175,DB00014
DB00014,DB01175
DB00014,DB01208
DB01208,DB00014
DB00014,DB01218
DB01218,DB00014
DB01244,DB00014
DB00014,DB01244
DB00014,DB01267
DB01267,DB00014
DB00014,DB01356
DB01356,DB00014
DB00014,DB04844
DB04844,DB00014
DB04855,DB00014
DB00014,DB04855
DB00014,DB04868
DB04868,DB00014
DB00014,DB04946
DB04946,DB00014
DB00014,DB05294
DB05294,DB00014
DB00014,DB06176
DB06176,DB00014
DB06216,DB00014
DB00014,DB06216
DB00014,DB08881
DB08881,DB00014
DB00014,DB11730
DB11730,DB00014
DB11978,DB00014
DB00014,DB11978
DB12161,DB00014
DB00014,DB12161
DB00014,DB13074
DB13074,DB00014
DB00199,DB00014
DB00014,DB00199
DB00207,DB00014
DB00014,DB00207
DB00014,DB00218
DB00218,DB00014
DB00014,DB00243
DB00243,DB00014
DB00014,DB00333
DB00333,DB00014
DB00363,DB00014
DB00014,DB00363
DB00014,DB00420
DB00420,DB00014
DB00014,DB00433
DB00433,DB00014
DB00450,DB00014
DB00014,DB00450
DB00477,DB00014
DB00014,DB00477
DB00014,DB00526
DB00526,DB00014
DB00537,DB00014
DB00014,DB00537
DB00014,DB00556
DB00556,DB00014
DB00608,DB00014
DB00014,DB00608
DB00625,DB00014
DB00014,DB00625
DB00640,DB00014
DB00014,DB00640
DB00014,DB00738
DB00738,DB00014
DB00757,DB00014
DB00014,DB00757
DB00014,DB00836
DB00836,DB00014
DB00014,DB00889
DB00889,DB00014
DB00014,DB00933
DB00933,DB00014
DB00014,DB00976
DB00976,DB00014
DB00014,DB00978
DB00978,DB00014
DB00014,DB01087
DB01087,DB00014
DB00014,DB01113
DB01113,DB00014
DB00014,DB01137
DB01137,DB00014
DB01155,DB00014
DB00014,DB01155
DB00014,DB01165
DB01165,DB00014
DB00014,DB01182
DB01182,DB00014
DB01195,DB00014
DB00014,DB01195
DB01211,DB00014
DB00014,DB01211
DB00014,DB01227
DB01227,DB00014
DB00014,DB01232
DB01232,DB00014
DB00014,DB01599
DB01599,DB00014
DB00014,DB04948
DB04948,DB00014
DB00014,DB06402
DB06402,DB00014
DB00014,DB06589
DB06589,DB00014
DB00014,DB06603
DB06603,DB00014
DB08865,DB00014
DB00014,DB08865
DB09063,DB00014
DB00014,DB09063
DB00014,DB09078
DB09078,DB00014
DB12141,DB00014
DB00014,DB12141
DB00014,DB01224
DB01224,DB00014
DB00321,DB00014
DB00014,DB00321
DB00014,DB00458
DB00458,DB00014
DB01242,DB00014
DB00014,DB01242
DB11718,DB00014
DB00014,DB11718
DB00196,DB00014
DB00014,DB00196
DB00014,DB00285
DB00285,DB00014
DB00289,DB00014
DB00014,DB00289
DB00014,DB00344
DB00344,DB00014
DB00346,DB00014
DB00014,DB00346
DB00014,DB00358
DB00358,DB00014
DB00014,DB00370
DB00370,DB00014
DB00014,DB00398
DB00398,DB00014
DB00529,DB00014
DB00014,DB00529
DB00014,DB00540
DB00540,DB00014
DB00543,DB00014
DB00014,DB00543
DB00014,DB00582
DB00582,DB00014
DB00674,DB00014
DB00014,DB00674
DB00014,DB00675
DB00675,DB00014
DB00014,DB00697
DB00697,DB00014
DB00714,DB00014
DB00014,DB00714
DB00014,DB00726
DB00726,DB00014
DB00014,DB00734
DB00734,DB00014
DB00014,DB00818
DB00818,DB00014
DB00014,DB00862
DB00862,DB00014
DB00014,DB00871
DB00871,DB00014
DB00014,DB00916
DB00916,DB00014
DB00927,DB00014
DB00014,DB00927
DB00014,DB00934
DB00934,DB00014
DB00014,DB00938
DB00938,DB00014
DB00983,DB00014
DB00014,DB00983
DB00014,DB01001
DB01001,DB00014
DB00014,DB01015
DB01015,DB00014
DB00014,DB01026
DB01026,DB00014
DB01044,DB00014
DB00014,DB01044
DB00014,DB01059
DB01059,DB00014
DB00014,DB01069
DB01069,DB00014
DB00014,DB01236
DB01236,DB00014
DB01238,DB00014
DB00014,DB01238
DB01246,DB00014
DB00014,DB01246
DB01254,DB00014
DB00014,DB01254
DB00014,DB01259
DB01259,DB00014
DB00014,DB01263
DB01263,DB00014
DB00014,DB01268
DB01268,DB00014
DB01274,DB00014
DB00014,DB01274
DB00014,DB01403
DB01403,DB00014
DB00014,DB01591
DB01591,DB00014
DB00014,DB01611
DB01611,DB00014
DB00014,DB05039
DB05039,DB00014
