drugid1,drugid2
DB05262,DB00437
DB00252,DB01320
DB00328,DB13783
DB14209,DB00519
DB00554,DB09215
DB00580,DB08439
DB09477,DB00584
DB00635,DB00860
DB14210,DB00691
DB14213,DB00790
DB14217,DB00881
DB01610,DB01004
DB04898,DB13616
DB06695,DB14726
DB14763,DB01131
DB00275,D07UBG
DB00836,DB14661
DB00299,DB00426
DB08840,DB02701
D0LK4X,DB11742
DB00415,DB01602
DB09324,DB12127
DB00415,DB01604
DB00578,DB09319
DB00701,DB01319
DB00668,DB00449
