drugid1,protein_name
D0O4GU,P35346
DB09099,P30872
DB09099,P30874
DB09099,P32745
DB09099,P31391
DB09099,P35346
D04HZA,Q08210
D05SXU,Q08210
D0R1GF,Q08210
D07PPK,P41143
D07PPK,P41145
DB07794,P28482
D0O6WJ,P11473
D0V7YQ,Q9Y5N1
D0D7YL,P15538
D04PKP,P15538
D0V3GT,P0DMS8
D02BGA,P30542
D02BGA,P29274
DB00142,P0DMS8
DB08839,P0DMS8
D00WLO,P0DMS8
D0S7LD,P35354
D0FQ3N,P35354
DB13036,Q9Y5Y4
DB08839,P41595
D06WJA,P15056
D06WJA,P49841
D06WJA,P06239
D06WJA,Q16539
D06WJA,Q15759
DB13119,P34972
DB01580,P08588
D05WTZ,P08253
D05WTZ,P14780
D00SDJ,P14416
D00SDJ,P35462
D0O9EM,P08908
D0O6QW,Q01959
D0O6QW,P23975
D01GWN,P22303
D01GWN,P06276
D0V3LC,P22303
D0V3LC,P06276
D0J4LR,P22303
D0J4LR,P06276
D0Z6RT,P22303
D0Z6RT,P06276
D0X8XO,P29466
D0P3XJ,P29466
D00YGP,P25100
D0W2PQ,P00533
D03WEN,P00533
D07RGP,P14679
D0P0CB,P05067
D0X1EY,P05067
D0L7MD,P05067
D08GKL,P05067
D0G2NF,P29144
D07PHW,P29144
D0M0TS,P29144
D0P9II,P29144
D00KTE,P29144
D0L4DW,P29144
D0K2GB,P29144
D00DDH,P29144
D0L4NF,P29144
D0H9VQ,P29144
D00IPP,P29144
D03KXQ,P29144
D0R3DP,P29144
D0V7QA,P21554
D0V7QA,P34972
D0I8HK,P00390
D0I8HK,P39051
D0A2KW,P21554
D0E9HC,P21554
D0LX4U,P21554
D0B8EP,P21554
D0Z9GI,P21554
D03TPB,P21554
D0M5ES,P22303
DB13750,P22303
D0G5QX,P22303
D0M8LN,P14416
D0M8LN,P35462
D0L7RB,P80404
D03VZF,P80404
D07ZBH,P80404
D0W3RR,Q14432
D04BXL,Q14432
D0MJ1L,Q14432
D08WIJ,Q14432
D07BFF,Q14432
D0NU5Z,P09874
D05GMW,P09874
D02XLC,P09874
D0R7HU,P09874
D03VNZ,P09874
DB07593,P07858
DB07593,P43235
DB07593,P07711
D0T7QF,P43235
D0T7QF,P07711
D00QIA,P43235
DB01246,P35367
D0C9BZ,P34998
D02BYS,P34998
DB09059,P30559
DB04835,P51681
D0FN7I,Q9Y5N1
D0Z9ZY,P03372
D0J3PM,P03372
D08LVT,P03372
D0L0RK,P03372
D0AD8G,P03372
D00XLU,P03372
D0M4LQ,P03372
D01XCA,P03372
D09ULU,P03372
D0Z0PR,P07858
D0Z0PR,P43235
D0Z0PR,P07711
D0Z0PR,P25774
D0P3OH,P00734
D0P3OH,P00742
D0LF7W,P06756
D0LF7W,P05106
D0W6CJ,P06756
D0W6CJ,P05106
D01BZH,P06756
D01BZH,P05106
D0R9GW,P06756
D0R9GW,P05106
D05VEC,P06756
D05VEC,P05106
D09PLA,P06756
D09PLA,P05106
D01MGI,P06756
D01MGI,P05106
D0UE7H,P06756
D0UE7H,P05106
D0O6DN,P06756
D0O6DN,P05106
D04WVG,P06756
D04WVG,P05106
D06JLN,P06756
D06JLN,P05106
D07SOQ,P25774
D0G8OD,P43235
D0G8OD,P07711
D0G8OD,P25774
D01YNC,P43235
D01YNC,P07711
D01YNC,P25774
D09AHN,P43235
D09AHN,P07711
D09AHN,P25774
D0U0XG,P43235
D0U0XG,P07711
D0U0XG,P25774
D07FLB,P43235
D07FLB,P07711
D07FLB,P25774
D0A7ER,P43235
D0A7ER,P25774
D0JF8D,P07711
D0JF8D,P25774
D00LYI,Q96EB6
D0UO1E,Q96EB6
D01GVC,P55263
D04RAW,P78527
D0C8MK,P78527
D04JGZ,P78527
D0O3VF,P78527
D0I1LR,P78527
D0U7WU,P78527
D0XL6P,P78527
D00HXZ,P78527
D0F5BD,P78527
D0AG8B,P78527
D03DGP,P78527
D03TQO,P78527
D0I3IO,P78527
D0U4JL,P78527
D0JH9J,P78527
D02PBS,P78527
D0H2BL,P78527
D0P4MU,P78527
D0D9RN,P78527
D06WCT,P78527
D04XFN,P78527
D0O9OB,P78527
D01MXN,P78527
D00MXW,P78527
D06TGR,P78527
D00TUH,P78527
D0V3XZ,P78527
D0S7NM,P78527
D0H9DB,P78527
D0K7LZ,P78527
D06DAY,P78527
D0W1ST,P78527
D06BSD,P11229
D09HXG,P11229
DB02057,P42261
D09OIO,P04293
D0WV3D,P04293
D01ZJM,P9WGY5
D0P5OE,P27487
D00HSG,P27487
D0X2JG,P27487
D02WBC,P27487
D06NRU,P27487
D0S5OQ,Q05586
D0S5OQ,Q12879
D0S5OQ,Q13224
D03NWI,Q05586
D03NWI,Q12879
D03NWI,Q13224
D0H0AT,P05067
D03RJH,P05067
D09UWI,P05067
D02FZQ,P05067
D08TME,P05067
D02DFT,P05067
D07LFZ,P05067
D09RAM,P05067
D03THP,P05067
D09MQZ,P05067
D00HVX,P0DMS8
D08COK,P41143
D08COK,P35372
D0DN6A,P41143
D0DN6A,P35372
D0S3LK,P41143
D0S3LK,P35372
D0R9LV,P41143
D0R9LV,P35372
D0UV1C,P41143
D0UV1C,P35372
D0J2IK,P41143
D0J2IK,P35372
D03HXN,P41143
D03HXN,P35372
D08VOC,P41143
D08VOC,P35372
D0E1QP,Q96EB6
D0C0OT,P21964
D0HW3Y,P21964
D0M3PG,P21964
D0P9YV,P39051
D0Y5UF,P19971
D00PMF,P19971
D0G1DS,P19971
D0VW6H,P19971
DB07556,P15917
DB07556,P03956
D0I2GK,P10827
D0I2GK,P10828
D04TSV,P07339
D0F4TV,P27815
D0F4TV,Q07343
D0F4TV,Q08499
D0B5CR,P21397
D0WI3V,P21397
D0O4XF,P21397
D0H1GQ,P21397
D0KW6V,P21397
D0FQ4M,P35367
D0NE3U,P41143
D05WTI,P09619
D0D4NS,P0DMS8
D0N1PT,P30542
D0N1PT,P0DMS8
D0OX0V,P30542
D0OX0V,P29274
D0OX0V,P0DMS8
D0NF3E,P0DMS8
D00YXE,P0DMS8
D0H2KD,Q9Y5N1
D0H2KD,Q9H3N8
D0J3OZ,P35968
DB00797,P14416
D06RCS,Q13224
DB05956,Q13224
D08XOT,P41594
D04XMJ,P41594
D0NU3J,P06276
D0GB8J,P54289
D0CU9Y,P54289
D0Z0VF,P54289
D0RC5X,P54289
D03KKH,P54289
D0Q3KV,P54289
D07QGX,P54289
D0V6SS,P54289
D05WDV,P54289
D05JAZ,P54289
D08ZGW,P54289
D0RA0P,P54289
D04YNS,P54289
D0S0WU,P54289
D0VA2O,P54289
D09QVD,P54289
D02IRC,P54289
D0OI6B,P54289
D01PWO,P54289
D06VUC,P54289
D09CKV,P54289
D0L2VI,P54289
D09EQN,P54289
D0N6QW,P54289
D0T6YJ,P54289
D0GU5E,P54289
D02ANL,P54289
D06RSF,P54289
D0C6FW,P54289
D0O6HW,P54289
D0I0SK,P54289
D09VTR,P54289
D0LN2D,P54289
D0D7FX,P54289
D06EUM,P54289
D0D3QA,P35968
D0D3QA,P17948
D03HTT,P35968
D03HTT,P17948
DB00726,P23975
D00JAT,P41143
D00JAT,P41145
D00JAT,P35372
D0SC3W,P41143
D0SC3W,P41145
D0SC3W,P35372
D01BGW,P28223
D01BGW,P41595
D08EFH,P28223
D08EFH,P41595
D08EFH,P28335
D0S8KA,P28223
D0S8KA,P41595
D0S8KA,P28335
DB14010,P28223
DB14010,P41595
DB14010,P28335
D0T2EW,P27487
D0OR5S,P15056
D01DDB,P15056
D0X5BD,P35462
D0UX5M,P43681
D0UX5M,P17787
D0A7HM,P43681
D0A7HM,P17787
D04HQP,P43681
D04HQP,P17787
D0R8YJ,P43681
D0R8YJ,P17787
D03FEV,P43681
D03FEV,P17787
D03SYO,P43681
D03SYO,P17787
D06KYM,P43681
D06KYM,P17787
D0C5FY,P03372
D0C5FY,Q92731
D0HM8Y,P03372
D0HM8Y,Q92731
D05LQD,Q92731
D02XVV,Q92731
D0WP6A,Q92731
D0U0ZE,P03372
D0U0ZE,Q92731
D00URP,P03372
D00URP,Q92731
D0S8EB,P03372
D0S8EB,Q92731
D0H5HI,P03372
D0H5HI,Q92731
D0O6FX,P03372
D0O6FX,Q92731
D0O5KR,P03372
D0O5KR,Q92731
D09PXU,P03372
D09PXU,Q92731
D00IXB,P03372
D00IXB,Q92731
D0W4WF,P03372
D0W4WF,Q92731
D0D1KK,P23975
D0L4EO,P39900
D0L4EO,P08253
D0L4EO,Q8N119
D0L4EO,P14780
D0A5MV,P39900
D0A5MV,P08253
D0A5MV,P14780
D05JPV,P39900
D05JPV,P08253
D0T9HG,P39900
D0T9HG,Q8N119
D0E1HP,P14174
D07OLL,P14174
D0E7CV,Q16602
D02NMK,Q16602
D0B8HD,Q16602
D0O5VA,P30968
D06MUL,P14902
D07BHS,P18405
D07BHS,P31213
D05XPT,P18405
D05XPT,P31213
D0Q4GH,P18405
D0Q4GH,P31213
D07BQG,P18405
D07BQG,P31213
D04LXR,P31213
D0W6HB,P18405
D0W6HB,P31213
D04GZD,P31213
D0Z6BT,P31213
D04AED,P18405
D04AED,P31213
D09XLZ,P31213
D05JGX,P31213
D01AUS,P18405
D00ZSD,Q13547
D00ZSD,Q969S8
D00ZSD,Q92769
D00ZSD,P56524
D00ZSD,Q9UBN7
D00ZSD,Q9BY41
D05AHZ,Q13547
D05AHZ,Q969S8
D05AHZ,Q92769
D05AHZ,P56524
D05AHZ,Q9UBN7
D05AHZ,Q9BY41
D0G1EH,P00441
DB13020,P03956
DB01180,P12821
DB01209,P41145
D0X5WD,P30304
D0X5WD,P30305
D08GWQ,P30304
D08GWQ,P30305
D08GWQ,P18031
D07JRA,P30304
D07JRA,P30305
D00SAA,P30304
D0N7YT,P30304
D0N7YT,P30305
D0N7YT,P18031
D0D2FB,P41594
D04ILS,P41594
D08ADI,P41594
D0X6YR,O00757
D0W0VK,Q05586
D0W0VK,Q12879
D0W0VK,Q13224
D0Q8NW,Q05586
D0Q8NW,Q12879
D0Q8NW,Q13224
D03CNT,Q05586
D03CNT,Q12879
D03CNT,Q13224
D0H6DL,P21554
D0P6TX,P62937
D07IQR,P62937
D0X5JR,P62937
D08EBV,P32245
D07RRN,P32245
D09HHW,P32245
D02EFQ,P08253
D02EFQ,P08254
D0UZ9U,P12461
D0P5BY,P43235
D0TW0I,P41594
D07RRA,P41594
D06YKH,P41594
D03CCP,P41594
D01ALS,P41594
D0L2KN,P41594
D09LDM,P41594
D08SSG,P41594
D0CQ6I,P41594
D08FEV,P41594
D0WJ8I,P41594
D01DPN,P41594
D06ZBT,P41594
D0I9NE,P41594
D0P2DV,P41594
D0Z1PY,P41594
D06KVX,P41594
D0W5JE,P41594
D02BFK,P41594
D0ST3S,P41594
D04PBZ,P41594
D01UUH,P41594
D03NIO,P41594
D0C9FH,P41594
D0O0QN,P21397
D00JUD,P21397
D0R4PR,P21397
D0U9VX,P21397
DB16159,P49768
DB16159,P49810
DB05289,P49768
DB05289,P49810
D0AA8E,Q16881
D0V8FG,P00390
DB04879,P17948
DB13616,P00734
D05IIP,P08912
DB12350,P54709
DB05961,P03366
D0EK0G,Q02763
D0EK0G,P06493
D0EK0G,P24941
D0EK0G,P11802
D0EK0G,Q00534
D0EK0G,P00533
D0EK0G,P04626
D0EK0G,P24385
D0EK0G,P24864
D0EK0G,P14635
D0EK0G,P17252
D0EK0G,Q02156
D0EK0G,P05129
D0EK0G,P35968
D06AOY,Q02763
D06AOY,P06493
D06AOY,P24941
D06AOY,P11802
D06AOY,P00533
D06AOY,P04626
D06AOY,P24385
D06AOY,P24864
D06AOY,P14635
D06AOY,P17252
D06AOY,Q02156
D06AOY,P05129
D00NYT,Q02763
D00NYT,P06493
D00NYT,P24941
D00NYT,P11802
D00NYT,Q00534
D00NYT,P00533
D00NYT,P04626
D00NYT,P24385
D00NYT,P24864
D00NYT,P14635
D00NYT,P17252
D00NYT,Q02156
D00NYT,P05129
D00NYT,P35968
D0C3WY,Q02763
D0C3WY,P06493
D0C3WY,P24941
D0C3WY,P11802
D0C3WY,Q00534
D0C3WY,P00533
D0C3WY,P04626
D0C3WY,P24385
D0C3WY,P24864
D0C3WY,P14635
D0C3WY,P17252
D0C3WY,Q02156
D0C3WY,P05129
D0C3WY,P35968
D01OCZ,P14061
D02JRB,P14061
D03BZT,P14061
D0F9MQ,P11511
D04DZZ,P11511
D0E3IK,P11511
D03JOX,Q01959
D03JOX,P23975
D03JOX,P31645
D0O9BL,Q01959
D0O9BL,P23975
D0O9BL,P31645
D07ZOP,Q01959
D07ZOP,P23975
D07ZOP,P31645
D0I9KV,Q01959
D0I9KV,P23975
D0I9KV,P31645
D0L6RY,Q01959
D0L6RY,P23975
D0NY4W,Q01959
D0NY4W,P23975
D0NY4W,P31645
D06QGD,Q01959
D06QGD,P23975
D06QGD,P31645
D0B4FN,Q01959
D0B4FN,P23975
D0D3QE,Q01959
D02ICX,P23975
D02ICX,P31645
D00TZD,P04626
D00TZD,Q15303
D0CT7P,P41594
D0RJ5B,P41594
D0R7VW,P41594
D0JG2W,P41594
D0O9HS,P08908
D0O9HS,P35348
D0O9HS,P25100
D0V4RP,P08908
D0V4RP,P35348
D0V4RP,P25100
D0D1KZ,P12268
D00FPG,P12268
D06RQV,P12268
D0D2ST,P12268
D08OSM,P12268
D0J9OS,P12268
D0K4EM,P12268
D0AL2E,P12268
D0V0YP,P12268
D0L0ZP,P12268
D05AJZ,P12268
D05SKE,P12268
D0H1II,P12268
D0Q3WC,P12268
D06FSR,P12268
D0G3BY,P12268
D02YMQ,P12268
D0ZG3O,P12268
D00CLM,P40238
DB00229,P0AD68
D0M7HQ,P51679
D06AJH,P51679
D0K2UA,P51679
D0B3JB,P51679
D0G6NY,P51679
D0CX7I,P51679
D0W5OM,P51679
D03VIS,P51679
D01RGG,P51679
D0ZE9M,P51679
D0U7FE,P51679
D0W6GE,P51679
D0W1VL,P51679
D09DWM,P23975
D09DWM,P31645
D0D8YY,P23975
D0D8YY,P31645
D05HGL,P03366
D0F3IP,P35354
DB08880,P04035
D0B5LF,P00734
D05OQX,P35354
DB03701,Q01959
D0Q7MQ,P25103
DB09207,P46098
DB09207,P35462
D0PB0D,P37288
DB12879,P04406
D08WFC,Q16539
D0L3PO,P42574
D09GKA,P42574
D0B8HU,P42574
D09AED,P42574
D0FZ7W,P42574
D05GGE,P42574
D0Q1PN,P41143
D0Q1PN,P35372
D0F1XY,P41143
D0F1XY,P35372
D0J7GJ,P32238
D0J7GJ,P32239
D0J7GJ,P41143
D0J7GJ,P35372
D03WGS,P32239
D03WGS,P41143
D03WGS,P35372
D0N6DN,P32238
D0N6DN,P32239
D0N6DN,P41143
D0N6DN,P35372
D0QP2S,P32238
D0QP2S,P32239
D0QP2S,P41143
D0QP2S,P35372
D00YBU,P06756
D00YBU,P05106
D07UOF,P06756
D07UOF,P05106
D0U2NV,P06756
D0U2NV,P05106
D0V0JC,P06756
D0V0JC,P05106
D0M0BN,P06756
D0M0BN,P05106
D08CFM,P06756
D08CFM,P05106
D0H4EK,P06756
D0H4EK,P05106
D0I5BY,P06756
D0I5BY,P05106
D05EWB,P06756
D05EWB,P05106
D0M6NQ,P06756
D0M6NQ,P05106
D0WK2F,P06756
D0WK2F,P05106
DB01058,O60760
DB01241,P06858
D0JC4Q,P35348
D0JC4Q,P25100
D00RLE,P35348
D00RLE,P25100
D0Q2SI,P35348
D0Q2SI,P25100
D0J9ZF,P35348
D0J9ZF,P25100
D07FKO,P14679
D0T2WM,P14679
D02PWZ,P14679
DB13616,P07477
DB13616,P00742
DB13616,P00747
D0H2LT,O75899
D0VR3K,O75899
D08PXU,O75899
D0AK9X,O75899
D09YCW,O75899
D09WJO,O75899
D0C9XA,O75899
D0UA0I,P28221
DB12110,P28221
DB02292,P08842
D02JVA,Q01726
D02JVA,P41968
D02JVA,P32245
D07SFD,Q01726
D07SFD,P41968
D07SFD,P32245
D07UXW,P41968
D07UXW,P32245
D04BOG,P32245
D05LLI,Q01726
D05LLI,P41968
D05LLI,P32245
D0W1SM,Q01726
D0W1SM,P41968
D05WNC,P41968
D05WNC,P32245
D0B9NH,P41968
D00TSX,P41968
D00TSX,P32245
D02MPZ,P41968
D02MPZ,P32245
D0L1MJ,Q01726
D0L1MJ,P41968
D0L1MJ,P32245
D01HTX,P41968
D01HTX,P32245
D0P4GI,P41968
D0P4GI,P32245
D0VD7R,P41968
D0VD7R,P32245
D06RTP,Q01726
D06RTP,P41968
D06RTP,P32245
D0M4EF,P41968
D0M4EF,P32245
D0N6MR,Q14432
D0T3UP,Q14432
D0J7NR,Q14432
D0NI4Z,Q14432
D0DX3V,Q14432
D09GTN,Q14432
D05HFD,Q14432
D08XKO,Q14432
D03GAQ,Q14432
D0OJ1V,P18031
DB00822,P51648
DB00808,P51787
D03CKF,P41143
D03CKF,P35372
D06DSX,P08908
D06AWX,P18031
D0LY5S,Q9NWZ3
D0U8ZQ,Q05586
D0U8ZQ,Q12879
D0U8ZQ,Q13224
D0M2BB,P21728
D0M2BB,P14416
D0M2BB,P35462
D0M2BB,P21917
D02VIP,P05106
D02VIP,P18084
D0Y7PY,Q13526
D0W4CN,Q13526
D0W8MX,Q13526
D02PSR,P21397
D0PF7F,P06276
D0C3AD,P06239
D0C3AD,Q16539
D0C3AD,P36897
D0N4VI,P15538
D0MA9G,P11511
D0MA9G,P15538
D0MA9G,P05093
D02LWB,P15538
D0K5KG,P11511
D0K5KG,P15538
D0K5KG,P05093
D0I5NW,P11511
D0I5NW,P15538
D08HPU,P11511
D08HPU,P15538
D0L4NG,P15538
D0X1QS,P11511
D0X1QS,P15538
D0D8YE,P15538
D0NX0M,P11511
D0NX0M,P05093
D0C6US,P15538
D0VD3M,Q04864
D0J0ZF,Q04864
D0B7EP,Q04864
D0Y0CA,Q04864
D0R2MO,Q04864
D0CQ5F,Q04864
D00RAO,Q04864
D0B8RN,Q04864
D0F7UW,Q04864
D0N2GO,Q04864
D0V4PJ,Q04864
D00EOD,Q04864
D0J7XB,Q04864
D05DHX,Q04864
D0T1II,P06756
D0T1II,P05106
D0P4RB,P06756
D0P4RB,P05106
D04AMC,P21554
D04AMC,P34972
D0Y1MM,P21554
D0Y1MM,P34972
D0Q8QH,P34972
D0T3CP,P34972
D0F4BE,P21554
D0F4BE,P34972
D05TQX,P34972
D0ZO8Z,P36888
D08ABU,P18031
D0X2OD,P18031
D04TTB,P18031
D06BFB,P18031
D0M0XS,P18031
D00VNC,P18031
D0J1GM,P18031
D0J5KG,P18031
D0E1UG,P18031
DB00490,P08908
DB02789,P11474
D0XC6G,P11362
D0XC6G,P09619
D0XC6G,P35968
D0XC6G,P17948
D07TLT,P10275
D00QVP,P10275
D0V0WB,P06280
DB08846,P49841
DB08846,P43405
D0J9SO,P10635
D02WSA,Q92731
D01CYI,Q92731
D0I5VJ,Q92731
D06KWA,P32238
D0J9VA,P25929
D0J9VA,P49146
D0J9VA,P50391
D00OLA,P25929
D00OLA,P49146
D00OLA,P50391
DB04655,Q9HBH1
D03ZDZ,P14780
DB16404,Q8NET8
DB01481,P10275
D0H4GI,P35968
DB01405,P0A0K8
D02ZPM,P08908
D02ZPM,P28222
D0I6RL,P50579
D00MUJ,P50579
D0K7PS,P50579
D0S5GM,P50579
D05RII,P41146
D05RII,P41145
D05RII,P35372
D01AHL,Q92731
D0E5MB,P08253
D0E5MB,P14780
DB04883,P25101
D03KPZ,Q02880
D07KHH,P20309
D06KCU,P41597
D02JXG,P25025
D0VU2M,P07550
DB15919,P41231
D03ESO,P78536
D06WKA,P25092
DB12554,P08912
DB01079,Q13639
DB06582,P30536
DB05104,P41145
D0M1YN,P46098
D02NMG,P21452
D0Z6WI,P10912
D07QWW,Q13324
D05ALG,Q15761
D0G2VT,Q92847
D06WBA,P08473
D0C7GB,Q15822
D0QE7J,Q15822
DB09028,Q15822
D04AXH,Q05655
D04AXH,Q02156
D04AXH,P24723
D04AXH,Q04759
D04AXH,P05129
D0I9NH,P05067
D0C9QW,P05067
D02BBJ,P05067
D0B1CL,P05067
D0R0LQ,P05067
D01MMU,P05067
D0G9NE,P00915
D0G9NE,P00918
D0G9NE,Q16790
D0O4KL,P00915
D0O4KL,P00918
D0O4KL,Q16790
D0KZ2D,P00915
D0KZ2D,P00918
D0KZ2D,Q16790
D00FGB,P00915
D00FGB,P00918
D00FGB,Q16790
D0SF3B,P00915
D0SF3B,P00918
D0SF3B,Q16790
D0HN0R,P00915
D0HN0R,P00918
D0HN0R,Q16790
D08AOA,P00915
D08AOA,P00918
D08AOA,Q16790
D07PNA,P00915
D07PNA,P00918
D07PNA,Q16790
D0J3SP,P00915
D0J3SP,P00918
D0J3SP,Q16790
D0O8WV,P00915
D0O8WV,P00918
D0O8WV,Q16790
D07LYW,P00915
D07LYW,P00918
D07LYW,Q16790
D0U6KE,P05067
D07SNW,P05067
D03TOK,P05067
D0W0WL,P05067
D0C1AU,P05067
D0O5FK,P05067
D0I8XD,P05067
DB00230,P54289
D08UOX,P34969
D0Y8XJ,P11511
D0U4TA,P53634
D07OBI,Q05586
D07OBI,Q12879
D07OBI,Q13224
D0C9AM,Q05586
D0C9AM,Q12879
D0C9AM,Q13224
DB06527,P05067
D0W1SX,P41594
D02XFR,P41594
D03LCM,P41594
D07JLC,P41594
D0L3RY,P41594
D09GMG,P41594
D0X4UN,P41594
D0U1UZ,P32245
D0M2QK,P32245
D0R5KO,P32245
D09LHF,P32245
D0V5YV,P32245
D08FGQ,P41143
D08FGQ,P35372
D01MKM,P35372
D03NCF,P35372
D05ETG,P35372
D07XXX,P35372
D04MYP,P35372
D0G2BN,P35372
D0C2ZW,P35372
D0M2LV,P49768
D0M2LV,P49810
D00DFR,P49768
D00DFR,P49810
D04TWU,P49768
D04TWU,P49810
D0I8BA,P49768
D0I8BA,P49810
DB00737,Q14994
D0L2MN,P30542
D0L2MN,P29274
D0L2MN,P0DMS8
D0R4LZ,P30542
D0R4LZ,P0DMS8
D0E7YE,P30542
D0E7YE,P29274
D0E7YE,P0DMS8
D06QID,P0DMS8
D0A0GA,P0DMS8
D07FGB,P30542
D07FGB,P0DMS8
D0RZ2M,P30542
D0RZ2M,P29274
D0RZ2M,P0DMS8
D08JUQ,P30542
D08JUQ,P29274
D08JUQ,P0DMS8
D0L7DL,P30542
D0W3MT,P30542
D0W3MT,P29274
D0W3MT,P0DMS8
D0WI4D,P30542
D0WI4D,P29274
D0WI4D,P0DMS8
D0X7LC,P32239
D0X7LC,P41143
D0X7LC,P35372
D03JFL,Q04609
D05VWZ,Q04609
D0ND1C,Q04609
D0F8TZ,Q04609
D06CBR,O14920
D0N1UB,O14920
D08VQM,O14920
D03PVS,O14920
D0UP6G,O14920
D00XDG,O14920
D01FPX,O14920
D09PLJ,O14920
D05VEV,P07858
D05VEV,P25774
D09GZQ,P25774
D06NEB,P07858
D06NEB,P25774
D0K0KT,P25774
D0RL4S,P25774
D0I0MU,P07858
D0I0MU,P25774
D0B3US,P25774
D01NCW,P25774
D05MDE,P25774
D09IMK,P25774
D0QY3R,P07858
D0QY3R,P25774
D0A5WN,P07858
D05XGZ,P08183
D0O9NE,P08183
D0D2XH,P50406
D0G6NV,P50406
DB01395,P08235
DB00580,P35354
D09OLH,P36888
D09OLH,P16234
D09OLH,P09619
D0G0KQ,P36888
D0G0KQ,P16234
D0G0KQ,P09619
D0D7ZL,P36888
D0D7ZL,P16234
D0D7ZL,P09619
D0H7MF,P36888
D0H7MF,P16234
D0H7MF,P09619
D0XS9E,P36888
D0XS9E,P16234
D0XS9E,P09619
D0G5YI,P36888
D0G5YI,P16234
D0G5YI,P09619
D04QUI,P12931
D04QUI,P00519
D01GNF,P12931
D01GNF,P00519
D03GQI,P12931
D03GQI,P00519
D07LYJ,P12931
D07LYJ,P00519
D0P2QG,P12931
D0LP2M,P12931
D0D8ZN,P12931
D0D8ZN,P00519
D0A5MG,P12931
D0A5MG,P00519
D0J4RY,P12931
D01IDD,P12931
D0EX7S,P41594
D0RI6U,P41594
D06TCX,P41594
D07XZP,P41594
DB16120,P49327
DB07795,P49327
DB15334,P49327
D07KXK,P49327
DB12116,P49327
D0OB0M,P12931
D0MI2W,P12931
D08DSG,P06756
D08DSG,P05106
D0H5II,P23141
D0T0VC,Q02750
DB00459,P40763
DB00067,P30518
D01EIS,P23975
D01EIS,P31645
D0A1HH,P23975
D0A1HH,P31645
D03ZDY,P23975
D03ZDY,P31645
D0Z9OX,Q01959
D0Z9OX,P23975
D0Z9OX,P31645
D0Z6YA,P23975
D0Z6YA,P31645
D0EO5P,P23975
D0EO5P,P31645
D05LKO,Q01959
D0EX2M,P23975
D0EX2M,P31645
D08LAY,P23975
D08LAY,P31645
D03MYV,P23975
D03MYV,P31645
D03FGM,P31645
D09JRN,P23975
D09JRN,P31645
D0T8BU,Q01959
D0T8BU,P23975
D0T8BU,P31645
D0AL3G,P05093
D0X4XX,P05093
D08OHU,P05093
D00GIW,P05093
D07ORY,P05093
D02HTG,P05093
D0N5GZ,P05093
D0S0EP,P05093
D09HEA,P05093
D0W6WL,P31645
D0L7BK,Q01959
D0L7BK,P23975
D0L7BK,P31645
D0Y6GQ,P31645
D07TEJ,P31645
D0J8DC,P31645
D0A3YK,P31645
D09TQP,P35968
DB06875,Q92731
D01KOO,P00918
D0T8SN,P00918
D0I8DW,P00918
D0L4FM,P00918
D06IYU,P00918
D0Q6HT,P48039
D0Q6HT,P49286
D05EDR,P48039
D05EDR,P49286
D08XDH,P30968
D0K8AP,P30968
D04TDF,P30968
D0B6LL,P30968
D07XFF,P30968
D0X1RZ,P30968
D0C2JJ,P30968
D0L8WJ,P30968
D09UXO,P30968
D0R9JG,P30968
D00TSY,P30968
D05UTO,P30968
D0X4UE,P00533
D0Q3NG,P45984
D0Q3NG,P53779
D00WEV,P41143
D00WEV,P35372
D0ZI5Z,P41143
D0ZI5Z,P35372
D0M6BL,P41143
D0M6BL,P35372
D0XB3U,P21731
D09UQM,P00918
D09UQM,P22748
D09UQM,Q16790
D03DRR,P35367
D02RIG,P00533
D07IHD,P00533
D0V7HJ,P43681
D0V7HJ,P17787
D0B8GR,Q01726
D0B8GR,P41968
D0B8GR,P32245
D0F6GX,Q01726
D0F6GX,P41968
D0F6GX,P32245
DB00765,P07101
D05BZQ,P41145
D0D0XP,P35372
D01MHO,P35372
DB01565,P41143
DB01565,P41145
DB01565,P35372
D07UJV,P35372
D0IC5F,P35372
D0D6OA,P41145
D0D6OA,P35372
D0WZ7J,P41145
D0WZ7J,P35372
D06YVE,P35372
D0X2HT,P41145
D0X2HT,P35372
D0TH8E,P41145
D0TH8E,P35372
D0H6AA,P41145
D0H6AA,P35372
D02YXR,P35372
D0TT5V,P35372
DB05540,Q9U8D3
D07NVK,P25779
D0J3HR,P25779
D07PZF,P25779
D0QP7C,P49327
D0BY6E,P49327
D0IY5Y,O00763
D09GSD,P41143
D09GSD,P35372
D08SCK,P41143
D08SCK,P35372
D0Y2HI,P41143
D0Y2HI,P35372
D00MEM,P41143
D00MEM,P35372
D0ZI8Y,P23219
D0ZI8Y,P35354
DB09245,P21397
D0V0CJ,P31350
D0E3RQ,P41146
D0E3RQ,P35372
D02TPK,P41146
D02TPK,P35372
D0Y2MT,P41146
D0Y2MT,P35372
D09CTG,P41146
D09CTG,P35372
D0W7CF,P41146
D0NE3U,P35372
D0A1XG,P35372
D0Z1WF,P35354
D03PYD,P23141
D0U5OP,P41143
D0U5OP,P35372
D07BPA,P41143
D07BPA,P35372
D01DNN,Q01959
D0U6PD,Q01959
D06QDX,Q01959
D0Z8DJ,Q01959
D00NEE,Q01959
D0Y5WA,Q01959
D0FS4V,Q01959
D0H4RE,P0DMS8
D05TMJ,P0DMS8
D05NEM,P0DMS8
