drugid1,protein_name
DB02431,P04951
DB04331,P52732
DB11975,Q15726
DB01643,P04183
D02CCD,O00142
DB15233,P10721
D0M3UR,Q05655
D04JNZ,Q05655
D09TSC,Q02156
D09TSC,P05129
D04JNZ,P24723
D09TSC,Q04759
D04JNZ,Q04759
D09TSC,Q05513
D09EFC,P14618
DB01643,P9WKE1
D00NWF,P06239
D07LUR,P01130
D0J5VK,P15917
D03CDB,P17931
DB03130,Q04760
DB02457,P07098
DB08222,P16233
D0A8OW,P16050
DB03389,P09848
DB14777,Q9I5U2
DB01991,P47205
DB08231,Q9Y6Y9
D08TQA,P10253
DB03721,P16581
DB03721,P16109
DB00742,Q4WQY4
D07FOH,P06821
DB14886,P29966
D05QKO,P02686
D0P7NY,Q14703
D06PNU,P41968
D06PNU,P32245
D00LHS,Q07820
D08YAF,Q00987
D0S8CE,P08183
DB12799,P21439
DB03799,P13254
DB01992,Q5HH38
D05GYF,O43451
DB02216,P16455
D0H2PE,P53779
D00NWF,Q16539
D0D4VH,P9WJV5
DB07340,Q02750
D0J1KH,P30304
D0J1KH,P30305
D0XU7M,P30307
D0XU4Y,P34948
D0H3YC,P11717
DB01598,P0AD65
DB12615,Q9UI43
D0S8CE,P33527
D06PNU,Q01726
DB06810,Q96DH6
D0ML3S,P21757
DB02281,Q13126
DB00742,Q4X1A4
DB02281,P0AF12
DB11399,P55157
DB03397,P0A749
DB03147,P08373
DB02196,P17443
DB00200,P22033
DB11816,Q14896
DB01796,P9WJJ7
DB15197,P03418
D0U1VZ,Q9P0J0
D0ZD2M,Q15843
DB08231,P03407
DB08626,P08473
D08TSK,P30418
DB03953,P29475
DB02462,P35228
DB03953,P29474
D04XVU,Q9NPH5
DB03380,P01303
D02UID,O75469
D0GD5G,O14786
DB04464,P03897
DB02821,P04181
DB12109,Q02218
DB00152,P0AFG8
D0K2NY,P41146
DB02482,P08100
DB03088,O43612
DB03041,Q15391
D01QKK,P04637
D0F9PM,P47712
D0Y0OA,P14555
D0WW7A,Q13093
D08MHM,O96013
D04QJK,P0AFI2
D0PC5N,Q6G9K4
D0V6EY,P72525
D09XJJ,Q86W56
DB13997,P03433
DB08508,P02919
DB04540,Q9Y5K3
D00YPO,Q14432
DB06461,P04085
DB07403,Q15119
D0M5KC,O15648
DB08009,P16234
D06DSE,P53609
D0W1AW,Q9RGS8
DB01766,Q13526
D07APP,P42338
D07APP,O00329
D07RPV,Q13393
D06GOK,P49763
DB00126,Q02809
DB07109,Q15126
DB00507,Q968X7
DB03101,P00491
DB05521,P26664
DB15932,P26664
DB08012,P23008
DB08231,P23008
DB08017,P12916
DB05102,P04936
D0A0SK,P03366
D0NS0E,P03366
DB12561,Q9H237
D09CAI,P62136
DB15412,P67775
DB00848,P05186
DB03535,P48147
DB02419,P62937
DB04977,P50897
DB08357,P08839
D0N0IV,P25105
D0I9JH,O14684
D09OWE,P18031
D0N7VL,P08575
D0N4XG,Q13332
DB02236,P22102
D06YIB,P22102
D09KUE,P31939
DB04566,Q9U8D3
DB15588,P11217
DB07646,Q08210
D0ST0H,P9WIU2
DB04315,P51151
D0M9ER,P63000
D00NWF,P04049
DB02877,P10826
DB02258,P13631
DB11520,P37624
DB08231,P35243
D0H1OK,P07949
D0N2GQ,P04618
DB12422,Q6PJF5
D0V2RK,P31350
DB04530,P9WH11
DB04705,P51449
DB04788,P47768
D07LUR,Q9BZR6
DB05343,P04271
DB13118,P06702
DB16098,P80511
DB02925,Q13621
DB01324,P55017
DB00563,P41440
DB07810,Q9UHI7
DB00126,Q9UGH3
DB02758,Q7Z2H8
DB02959,Q495M3
D0X1RG,Q9H2H9
D0X1RG,Q96QD8
D0X1RG,Q969I6
D0M7OP,P18405
D0OX9Q,Q9UN76
D0F5AJ,P23526
D0U9TM,Q9NY91
DB08872,Q9Y289
D05AFI,Q9GZV3
DB03963,P16753
D0Z5LN,P35499
D07CEB,P56221
DB13012,Q92835
DB11753,P0A0J0
DB12986,Q9BPZ7
D05UDU,Q96EB6
D0V2WK,P0A0K8
D0D3OX,P19634
D0T1OG,P48764
D0P0CM,P84022
DB00847,P61278
DB00390,Q6ZQN7
D00OYQ,P04179
DB12226,P08047
DB04530,P36952
D02SRA,P12931
DB02175,Q9GZT4
D06PZK,P40763
D0B2XN,P08842
DB05885,Q7L0J3
DB04866,P07814
D0MC3R,Q13093
D0F1AX,P09436
DB05738,P35367
DB12810,A6QHU1
DB02151,Q9A178
DB08841,Q96RJ0
D0O7QV,P04608
D08UZL,O14746
D0A5ZJ,Q15722
D08VSQ,P28845
DB04315,P21980
D01QOU,P24557
D09TVP,P10599
D00NNI,P13945
DB03963,O60603
D0E2QN,P51679
DB04743,P50591
DB07933,Q92731
DB00922,P63316
DB15256,P02585
DB12509,P54619
D0M4HL,O75907
D0L8BN,P11387
D01ZMS,P11388
DB15047,P22460
D0C6RO,O75365
D09YLF,P00750
DB12808,P13631
DB05592,Q99720
DB01694,Q9NP99
DB03040,P02788
D0M8AI,P04626
DB12070,P16724
DB01645,Q92731
DB06683,P03159
DB11755,Q8NET8
DB03147,Q16881
D03ZUM,P07477
D09YQM,Q9BZJ3
DB14791,O14757
D05QIU,P10613
D0T2LP,P21817
DB03462,P19971
DB03470,P39051
DB00346,P35348
D0M7YB,P16662
DB03496,P11217
DB06234,P16788
DB06635,P00742
DB08877,Q03405
DB12805,P16066
DB04714,P60472
D05IIN,P34998
DB06393,P08908
DB11650,P27815
DB11650,Q07343
DB11650,Q08499
D04RGN,P19320
D04WBT,P17302
D02LBK,P53778
DB08009,P17948
DB12188,P28223
DB12188,P21728
DB00632,P68344
DB12188,P14416
DB01022,P38435
DB12823,Q9BQB6
DB01442,Q05940
D0F1EF,P04275
D0Y3PH,P30291
D0Q6GD,Q6G9K4
DB00398,P00533
D0H1OK,P07947
DB13170,P25092
D0XW6Y,Q9Y5N1
D0G5YR,P15941
DB06202,P03372
DB12395,P23975
D07CMN,O43497
D08JWJ,P25101
DB12435,P09917
DB05220,O14965
DB13010,P04637
D03KLF,P32970
DB12763,P53350
D08TQP,P26664
D03SFN,P28222
D03SFN,P28221
D07SZJ,P18825
D0K2HA,P06401
DB12235,P03372
DB12795,P08581
DB13138,P30542
DB13107,Q9ULA0
DB12462,P43119
DB15137,P10828
DB12141,P30530
DB03496,P50750
DB16095,O15392
DB15029,P48736
DB15138,P03372
DB15233,P16234
DB15498,P33981
DB15449,Q9UBN7
DB16125,P29274
DB15425,P24941
DB15425,P50750
D0E0NM,Q02763
DB16050,P36888
DB15275,P48736
DB15169,P22455
DB02289,Q13315
DB12638,P08238
DB14765,P35968
DB15078,P00533
DB15106,P07333
DB16330,O00311
DB14581,Q15910
DB15408,P68400
DB13062,Q8TB45
DB13062,Q9BPZ7
DB16186,P11387
DB06070,P08238
DB12340,P24385
DB16160,P98170
DB11925,Q8TB45
DB11925,Q9BPZ7
DB12218,P31749
DB12101,Q96SW2
D08DUF,P43357
DB15126,O60341
DB12275,P05093
DB15442,P11802
DB15442,Q00534
DB11652,P04626
DB04960,P14324
DB12941,P10275
DB14860,Q9UM73
DB06486,P48736
DB06486,P31749
DB11918,P26358
DB12674,P19387
DB12155,P40763
DB05992,P49770
DB12048,P08581
DB06182,Q6V1X1
DB06182,Q86TI2
DB14948,Q92633
DB15214,P21453
DB15291,Q06187
DB11526,P12931
DB12016,P21453
DB15358,Q99572
DB16048,P41146
DB14961,O43614
DB13178,P05067
D0S5LO,P42345
DB16036,Q99685
DB13006,P19235
DB16130,Q96P20
DB15010,Q04864
DB15665,P08908
DB15665,Q96RJ0
DB14966,Q16739
D0V9VG,P80511
DB14918,Q16637
DB01216,P31213
DB15385,P09960
DB15268,Q2FZQ3
DB15499,P23458
DB15499,P52333
DB12134,Q02880
DB12513,Q16236
DB14924,P52333
DB15003,P23458
DB15003,P29597
DB11807,P30926
DB11807,P17787
DB11938,P41145
DB06358,P00374
DB12973,P25103
DB12562,Q13258
D08LRV,P53779
DB12608,Q16518
DB12678,Q9UBU3
DB12935,P31639
DB12236,P31639
DB16165,P08235
DB12285,P56817
DB12986,Q8TB45
D0OH2W,Q9Y233
DB11700,P32245
DB12120,P01042
DB12120,P20151
DB14909,O14746
D02CZF,O14672
D0C8HK,P04035
D0A6FX,P04035
D0NU6K,P04035
D0CU3I,P04035
D08SKU,P04035
D01YQX,P04035
D0C5LO,P04035
D09EBV,P04035
D05SQA,P04054
D0L3IQ,P04054
D09BUG,P51648
D0Y6HA,Q00534
D0I5PM,P08648
D0LS4U,P14416
DB11838,P27815
DB11838,Q07343
DB11838,Q08499
DB11822,P26664
DB15446,Q02127
DB15156,P26664
DB09183,P26664
DB09297,P03366
D07ZAH,P03366
D02AMG,P98170
DB05383,P41597
